#      Train        Test
     0.39708       0.4671 
      0.5366       0.4317 
     0.59858       0.4989 
      0.6326       0.5586 
     0.65912       0.6457 
     0.68156       0.6653 
     0.69912       0.6709 
     0.71742       0.7271 
     0.73098        0.744 
     0.74332       0.7544 
      0.7549        0.761 
     0.76264       0.7417 
     0.77258        0.755 
     0.77776       0.7716 
     0.78744       0.7811 
      0.7904       0.7518 
     0.79594       0.7888 
     0.80082        0.783 
     0.80976       0.8094 
     0.81086       0.8014 
     0.81506       0.8013 
     0.81502        0.831 
     0.82092       0.8121 
     0.82446       0.8315 
     0.82762       0.8317 
      0.8305       0.8335 
     0.83316       0.8274 
     0.83632       0.8336 
     0.83992       0.8367 
      0.8401        0.852 
     0.84578       0.8357 
     0.84762       0.8463 
     0.84834       0.8585 
     0.85084       0.8455 
     0.85408       0.8536 
     0.85416       0.8557 
     0.85532       0.8601 
     0.85808       0.8489 
     0.86082       0.8577 
      0.8589       0.8542 
     0.86114       0.8514 
     0.86326       0.8593 
     0.86572       0.8579 
     0.86596        0.871 
     0.86826       0.8572 
     0.87134       0.8644 
     0.87364       0.8608 
     0.87226       0.8542 
      0.8745       0.8674 
     0.87528       0.8735 
     0.87468       0.8705 
     0.88012       0.8804 
     0.88022       0.8708 
      0.8821       0.8702 
     0.88324        0.872 
     0.88186       0.8706 
     0.88476       0.8696 
      0.8823       0.8802 
      0.8864       0.8829 
     0.88662       0.8707 
     0.90384       0.8935 
      0.9081       0.8937 
        0.91       0.8925 
     0.91168       0.8952 
     0.91424       0.8949 
     0.91292       0.8988 
      0.9141       0.8946 
     0.91466       0.8946 
     0.91516       0.8945 
     0.91606       0.8993 
     0.91552       0.8928 
     0.91744       0.8999 
     0.91784       0.8966 
     0.91854       0.8968 
     0.91814       0.8953 
      0.9199       0.8965 
     0.92028       0.8986 
     0.92104       0.8991 
      0.9221       0.8995 
      0.9215       0.8988 
     0.92158       0.8987 
     0.92282       0.9017 
     0.92396       0.8947 
     0.92326       0.8995 
     0.92302        0.898 
      0.9245       0.9021 
     0.92382       0.8973 
     0.92402       0.8997 
     0.92284       0.9017 
      0.9234        0.898 
     0.92422       0.8991 
     0.92506       0.8984 
     0.92558       0.9004 
     0.92804       0.8995 
      0.9254       0.9007 
     0.92762       0.8984 
     0.92688       0.9022 
     0.92624       0.9012 
      0.9291       0.8995 
     0.92898       0.9018 
      0.9284       0.9002 
      0.9269       0.8973 
     0.92874       0.8986 
     0.92958       0.9019 
     0.92878       0.8991 
     0.93184        0.897 
     0.93012       0.8983 
     0.93026       0.8991 
      0.9301       0.9007 
      0.9315       0.8955 
     0.93006       0.8993 
     0.93104       0.9048 
     0.93054        0.898 
     0.93144       0.9003 
      0.9297       0.9005 
     0.93208       0.8989 
      0.9319       0.9034 
     0.93234       0.8987 
     0.93344       0.9026 
     0.93194       0.9021 
     0.93776       0.9034 
     0.93858       0.9022 
     0.93738       0.9042 
     0.93844       0.9012 
     0.93936       0.9008 
      0.9386       0.9015 
     0.94038       0.9023 
     0.93928       0.9044 
     0.94162       0.9021 
     0.93972       0.9046 
     0.93986       0.9039 
     0.94016       0.9035 
     0.94004       0.9013 
     0.94084       0.9039 
     0.94148       0.9028 
      0.9399        0.905 
     0.94116       0.9042 
     0.94054       0.9026 
        0.94        0.902 
      0.9402       0.9027 
     0.94136       0.9032 
     0.94162       0.9031 
     0.93944        0.902 
     0.94218       0.9031 
     0.94182       0.9013 
     0.94216       0.9024 
      0.9419       0.9011 
     0.94068        0.903 
     0.94154       0.8996 
      0.9407       0.9048 
     0.94236       0.9033 
     0.94196       0.9024 
     0.94102       0.9035 
     0.94216       0.9035 
     0.94236       0.9031 
     0.94264       0.9022 
     0.94294       0.9015 
     0.94144        0.903 
     0.94216       0.9018 
      0.9446       0.9025 
      0.9447       0.9034 
     0.94332       0.9035 
     0.94372       0.9033 
     0.94344       0.9036 
     0.94354       0.9038 
     0.94422       0.9035 
     0.94296       0.9028 
     0.94222       0.9039 
     0.94458       0.9047 
     0.94418       0.9046 
     0.94352       0.9051 
     0.94454       0.9042 
     0.94536       0.9021 
     0.94344       0.9034 
      0.9445       0.9043 
     0.94478       0.9043 
     0.94266       0.9026 
      0.9435       0.9024 
     0.94342       0.9039 
     0.94366       0.9035 
     0.94564       0.9044 
     0.94376        0.905 
      0.9447       0.9027 
      0.9449       0.9045 
     0.94492       0.9043 
     0.94336       0.9041 
     0.94436       0.9031 
     0.94354       0.9027 
     0.94402       0.9032 
     0.94452       0.9028 
     0.94386       0.9051 
     0.94454       0.9033 
     0.94454       0.9049 
     0.94618       0.9036 
     0.94514       0.9052 
     0.94364       0.9055 
     0.94418       0.9052 
     0.94436       0.9044 
     0.94522       0.9039 
      0.9439       0.9036 
