#      Train        Test
   0.0129525    0.0112309 
   0.0101552    0.0135325 
  0.00886897    0.0129177 
  0.00812879    0.0109615 
  0.00760206   0.00833415 
  0.00713753   0.00769622 
  0.00676934   0.00772559 
  0.00638507   0.00627513 
   0.0060644   0.00593275 
  0.00580541   0.00574735 
  0.00556614   0.00540859 
   0.0053727   0.00628953 
  0.00512898      0.00581 
  0.00500649   0.00546494 
  0.00482548   0.00523627 
  0.00473088   0.00612787 
  0.00459581   0.00503818 
  0.00448419   0.00516466 
  0.00435745   0.00451585 
  0.00427268   0.00465899 
  0.00417786   0.00468123 
  0.00415698   0.00415688 
  0.00405956   0.00449885 
  0.00394681   0.00397438 
  0.00387687   0.00391695 
  0.00381251    0.0040429 
  0.00377056   0.00420422 
  0.00372021   0.00390933 
  0.00362474   0.00399354 
  0.00361766   0.00353644 
  0.00349998   0.00388696 
  0.00348582   0.00377068 
  0.00343173     0.003368 
  0.00337433   0.00367481 
  0.00334062   0.00356825 
  0.00329902   0.00343724 
  0.00326288   0.00334255 
  0.00323992   0.00372426 
  0.00313345   0.00342609 
  0.00316405   0.00343066 
  0.00310574   0.00365828 
  0.00307241   0.00332628 
  0.00300314   0.00339371 
   0.0030135    0.0031201 
  0.00295771   0.00344782 
  0.00293109   0.00344751 
   0.0028666   0.00346248 
  0.00287623   0.00362477 
  0.00283865   0.00329076 
  0.00280339   0.00308134 
  0.00279846   0.00319073 
  0.00273603   0.00301075 
  0.00272483   0.00311718 
  0.00268321    0.0031074 
  0.00263134   0.00317995 
  0.00263635   0.00322867 
  0.00260687   0.00319979 
  0.00263501   0.00294943 
  0.00257009   0.00286126 
  0.00253708   0.00333375 
   0.0021897    0.0026671 
   0.0020738   0.00259178 
  0.00204698   0.00265797 
  0.00201685   0.00259073 
  0.00198446   0.00257114 
  0.00196642   0.00257307 
  0.00196511   0.00249884 
   0.0019261   0.00262683 
  0.00192579   0.00258551 
  0.00192255   0.00253456 
  0.00191707   0.00271269 
  0.00190856    0.0024413 
  0.00188708   0.00247988 
  0.00187128   0.00253947 
  0.00186969   0.00262095 
  0.00184268   0.00263784 
  0.00183417   0.00258133 
  0.00181203   0.00259403 
  0.00180571   0.00259899 
  0.00180577   0.00261765 
  0.00179046   0.00251445 
  0.00176893   0.00243779 
  0.00175967    0.0026074 
  0.00176793   0.00250135 
   0.0017554   0.00260843 
  0.00175347   0.00244423 
  0.00174255    0.0026428 
  0.00171929   0.00252141 
  0.00174451   0.00242954 
  0.00172781   0.00256251 
  0.00171314   0.00254808 
  0.00171713   0.00255868 
   0.0017169   0.00259465 
  0.00166369   0.00250669 
  0.00169737   0.00251436 
  0.00164323   0.00258506 
  0.00166724   0.00252401 
  0.00165883   0.00251342 
  0.00164602   0.00257976 
  0.00162522   0.00252237 
   0.0016476   0.00257272 
  0.00164897   0.00253762 
  0.00160407    0.0025431 
  0.00161807   0.00259018 
  0.00162329   0.00259932 
  0.00159179   0.00266493 
  0.00160269   0.00254445 
  0.00159951   0.00256716 
  0.00158053   0.00256241 
  0.00158111   0.00269535 
  0.00157937   0.00261365 
  0.00157197   0.00244518 
  0.00157308   0.00261552 
  0.00156522   0.00256516 
  0.00157837   0.00253313 
  0.00153581   0.00271093 
  0.00156068    0.0025101 
  0.00154472   0.00264492 
  0.00153816   0.00254023 
  0.00152747   0.00255846 
  0.00143547   0.00247021 
  0.00142111   0.00250193 
  0.00143159   0.00245681 
  0.00141003   0.00250392 
  0.00139492    0.0025082 
  0.00139213   0.00251921 
    0.001389   0.00253806 
  0.00137705   0.00242801 
  0.00137178   0.00254303 
  0.00138848   0.00253758 
  0.00139318   0.00249421 
  0.00139571   0.00257083 
  0.00138137   0.00251854 
  0.00137004   0.00245523 
  0.00136653   0.00251514 
  0.00139171   0.00244112 
  0.00135475   0.00247244 
  0.00138805   0.00246983 
  0.00138456   0.00252757 
  0.00136583    0.0024877 
   0.0013611    0.0025211 
  0.00134809   0.00248992 
   0.0013776   0.00250015 
  0.00133888   0.00246796 
  0.00135258   0.00256717 
  0.00132729   0.00250196 
  0.00134748   0.00250632 
  0.00135997   0.00249909 
  0.00133412   0.00256917 
  0.00135566   0.00250184 
  0.00134483    0.0025057 
  0.00132735   0.00251406 
  0.00136161   0.00251642 
  0.00133261   0.00253308 
  0.00132359   0.00249873 
  0.00133681   0.00249023 
  0.00131189   0.00254945 
  0.00134278   0.00254255 
  0.00134447   0.00254464 
  0.00131612   0.00255888 
  0.00130193   0.00255509 
  0.00131401   0.00250815 
  0.00131422   0.00247724 
  0.00129514   0.00249995 
