#      Train        Test
     0.37784       0.4564 
     0.53762       0.5266 
     0.60114        0.609 
      0.6365       0.6041 
     0.66452       0.7063 
     0.69476       0.7257 
     0.70942       0.7239 
     0.72094       0.7261 
     0.73506       0.7126 
     0.74108       0.7243 
     0.75012       0.7862 
     0.75914       0.7706 
     0.76606       0.7451 
     0.76992        0.772 
      0.7735       0.7673 
      0.7836       0.7369 
     0.78654       0.7725 
      0.7919       0.8031 
     0.80092       0.8278 
      0.8019       0.8031 
     0.80232       0.8365 
     0.81182       0.8229 
     0.81322       0.8217 
     0.81574       0.8242 
      0.8181       0.8253 
      0.8224       0.8313 
     0.82718       0.8448 
     0.83062       0.8468 
     0.83206       0.8472 
     0.83436       0.8226 
      0.8385       0.8517 
     0.84152       0.8486 
      0.8426        0.855 
     0.85064       0.8604 
     0.85074       0.8402 
     0.85758       0.8765 
     0.85826       0.8621 
     0.86408       0.8811 
     0.87134       0.8808 
     0.87236       0.8754 
      0.8756       0.8813 
      0.8779       0.8845 
     0.87938       0.8817 
     0.88206       0.8823 
     0.88266       0.8831 
     0.88308       0.8851 
     0.88676       0.8899 
     0.88748       0.8788 
     0.88708       0.8855 
     0.88658       0.8918 
     0.88792       0.8781 
     0.88944       0.8923 
     0.88868       0.8843 
     0.89038       0.8925 
     0.89024       0.8889 
     0.88998       0.8922 
      0.8927       0.8881 
       0.893        0.894 
     0.89284       0.8919 
     0.89256       0.8905 
     0.89748       0.8931 
     0.89764       0.8925 
     0.89828       0.8913 
     0.89886        0.894 
     0.89784       0.8935 
     0.89942       0.8949 
      0.9007       0.8944 
     0.90142       0.8908 
     0.89876       0.8936 
     0.90182       0.8943 
     0.90108       0.8933 
     0.90186       0.8967 
     0.90166       0.8926 
     0.90282       0.8937 
      0.9023       0.8935 
     0.90338       0.8932 
     0.90302       0.8969 
     0.90462        0.896 
     0.90428       0.8958 
       0.903       0.8947 
     0.90568       0.8932 
     0.90442       0.8943 
     0.90608       0.8965 
      0.9038       0.8989 
     0.90362       0.8949 
      0.9049       0.8935 
     0.90606       0.8947 
     0.90492       0.8942 
      0.9054       0.8984 
     0.90634       0.8971 
     0.90756       0.8976 
     0.90736       0.8959 
     0.90744       0.8958 
     0.90844       0.8973 
      0.9077        0.899 
     0.90984       0.8973 
     0.90914       0.8972 
     0.90916       0.8956 
     0.91028       0.8954 
     0.90968       0.8946 
     0.91008       0.8935 
      0.9104       0.8983 
     0.91022       0.8963 
     0.91202       0.8971 
      0.9094       0.8976 
     0.91222       0.8975 
     0.91152       0.8986 
     0.91222       0.9005 
     0.91366       0.8986 
     0.91192       0.8982 
     0.91424       0.8986 
     0.91176       0.8981 
      0.9123       0.8997 
     0.91372       0.8999 
     0.91282       0.8976 
     0.91408       0.8978 
     0.91496       0.8985 
     0.91664       0.8976 
     0.91378       0.9003 
     0.91478       0.8993 
     0.91682       0.8999 
     0.91588          0.9 
     0.91856       0.9009 
     0.91714       0.9005 
     0.91706       0.9004 
     0.91992       0.9012 
     0.91852       0.9006 
      0.9175       0.9013 
      0.9176        0.901 
     0.92008       0.9017 
     0.91934       0.8997 
      0.9184       0.9005 
     0.91808        0.901 
     0.92024       0.8997 
     0.91898       0.9012 
     0.91904       0.9016 
      0.9188       0.9002 
     0.91922       0.9004 
     0.91722       0.9013 
     0.91872       0.9002 
     0.92012          0.9 
      0.9185       0.9013 
      0.9184       0.9015 
     0.92114       0.9014 
     0.92032       0.8991 
     0.91924       0.9008 
     0.91958       0.8999 
     0.91782        0.901 
     0.91938       0.9012 
     0.91914       0.9013 
      0.9202       0.9022 
     0.91866          0.9 
      0.9187       0.9008 
     0.92032       0.9006 
     0.91948       0.8999 
     0.92108       0.8999 
      0.9198       0.9006 
     0.91972       0.9011 
     0.91862       0.9011 
     0.91962       0.8994 
     0.91994       0.9005 
      0.9208       0.8998 
     0.92188          0.9 
     0.91952       0.8994 
     0.92054       0.8996 
     0.92078       0.8998 
     0.92006       0.8993 
     0.91918       0.9012 
      0.9213       0.8998 
     0.92086       0.9002 
     0.91916          0.9 
     0.91964       0.8998 
     0.92196       0.8998 
     0.92054       0.9007 
      0.9205       0.8998 
     0.92088       0.9001 
     0.92034       0.8998 
     0.92044       0.9002 
      0.9222          0.9 
     0.91942       0.8997 
     0.92086       0.8993 
     0.92042          0.9 
     0.92094       0.9007 
       0.919       0.9003 
     0.92102       0.8997 
     0.91934       0.9017 
     0.92138       0.9002 
      0.9194       0.8998 
     0.92134       0.8999 
      0.9197       0.8995 
     0.92038       0.8987 
     0.91988       0.8997 
      0.9207       0.9001 
     0.92038       0.8994 
      0.9208       0.9004 
     0.91958       0.9006 
     0.91922       0.8993 
      0.9221       0.8988 
     0.92114       0.9012 
     0.92132       0.9001 
