#      Train        Test
   0.0130188    0.0125067 
  0.00996824    0.0111999 
  0.00871893   0.00918636 
  0.00800771      0.01054 
  0.00745965    0.0066559 
  0.00683152   0.00641883 
  0.00646392   0.00686927 
  0.00625525   0.00664301 
  0.00593187   0.00745352 
  0.00579849   0.00680256 
  0.00561735   0.00506732 
  0.00541242   0.00575203 
  0.00525434   0.00611529 
  0.00514271   0.00539942 
  0.00510019   0.00580376 
  0.00489209   0.00651295 
  0.00479761   0.00604312 
   0.0047153   0.00495627 
  0.00457141    0.0042145 
  0.00447128   0.00481716 
  0.00442281   0.00394319 
  0.00429746   0.00459964 
  0.00423031   0.00452001 
  0.00417011   0.00434989 
  0.00412034   0.00435266 
  0.00402572   0.00412754 
  0.00391966   0.00385507 
  0.00386937   0.00365736 
  0.00380848   0.00382325 
  0.00375269   0.00448961 
  0.00365099   0.00379056 
  0.00357649   0.00381084 
  0.00354322   0.00369013 
  0.00340514    0.0035026 
  0.00337338    0.0043145 
  0.00322687   0.00311738 
  0.00316105   0.00352233 
  0.00306168   0.00294612 
  0.00289891   0.00295806 
  0.00286197   0.00304589 
  0.00278798   0.00304223 
  0.00273629   0.00287374 
  0.00269483   0.00312542 
  0.00266065   0.00301104 
  0.00264364   0.00298197 
  0.00262265   0.00292721 
  0.00255966   0.00281436 
  0.00251816   0.00311813 
  0.00253113   0.00290078 
  0.00254978   0.00279662 
   0.0025099   0.00317545 
  0.00247843   0.00262889 
  0.00248784   0.00297618 
  0.00241551   0.00279979 
  0.00246872   0.00288258 
  0.00243386   0.00283199 
  0.00239502   0.00281994 
  0.00241645   0.00259102 
  0.00241834   0.00272401 
  0.00238834    0.0027228 
   0.0022947   0.00263418 
  0.00228442   0.00270738 
  0.00228591   0.00266128 
  0.00226952   0.00264737 
  0.00227951   0.00269971 
  0.00223979   0.00259994 
  0.00222233   0.00265259 
  0.00222811    0.0027296 
  0.00225239   0.00262181 
  0.00221236   0.00261178 
   0.0022253   0.00264977 
  0.00219634   0.00256658 
  0.00220166   0.00262768 
  0.00218247    0.0026156 
  0.00218967    0.0027289 
   0.0021838   0.00265519 
  0.00218115   0.00252792 
  0.00215935    0.0026053 
   0.0021673   0.00270395 
  0.00214479    0.0026721 
   0.0021213   0.00266431 
  0.00212767   0.00263289 
  0.00212144    0.0025702 
  0.00212635   0.00251352 
  0.00213757   0.00270358 
  0.00212877   0.00260403 
  0.00210059   0.00261727 
  0.00212105   0.00267443 
  0.00209652   0.00255825 
  0.00210246   0.00257095 
  0.00205896   0.00251287 
   0.0020796   0.00261851 
   0.0020616   0.00261877 
  0.00205747   0.00262595 
  0.00203194   0.00254857 
  0.00202339   0.00256482 
  0.00203883   0.00249391 
  0.00201671   0.00261408 
  0.00199939    0.0025815 
  0.00203132   0.00271606 
  0.00199984   0.00263183 
  0.00200018   0.00255897 
  0.00198502   0.00262152 
  0.00197776   0.00252325 
  0.00201604   0.00251396 
  0.00197283   0.00259195 
  0.00198833   0.00257442 
   0.0019691   0.00254221 
  0.00193721     0.002544 
  0.00195762   0.00256017 
  0.00194301   0.00253794 
  0.00194305   0.00254527 
  0.00193231   0.00253791 
  0.00192601   0.00251976 
  0.00190826   0.00257034 
    0.001925   0.00258856 
  0.00190603   0.00250907 
  0.00187993   0.00258262 
  0.00190652   0.00252496 
  0.00189806   0.00254209 
  0.00187064   0.00250359 
  0.00186302   0.00252689 
  0.00182309   0.00249279 
    0.001837   0.00247521 
  0.00184006   0.00252182 
  0.00181584   0.00250886 
  0.00181836   0.00252543 
  0.00183369   0.00248615 
  0.00181807   0.00253309 
  0.00180453   0.00247189 
  0.00181513   0.00250028 
  0.00182715   0.00250021 
   0.0018303   0.00251749 
  0.00178859   0.00250416 
  0.00182879   0.00248302 
  0.00181549   0.00247612 
  0.00182261   0.00248544 
    0.001812   0.00248431 
  0.00185183   0.00250932 
  0.00181245   0.00248384 
   0.0018069   0.00250603 
  0.00181275   0.00245795 
  0.00180037   0.00252306 
   0.0017762   0.00247635 
  0.00179105   0.00251486 
  0.00178248   0.00251063 
   0.0017898   0.00254571 
  0.00182151   0.00251975 
  0.00180957   0.00251389 
  0.00179735   0.00250573 
  0.00179572   0.00246072 
  0.00181708   0.00251487 
  0.00178497    0.0025783 
   0.0017899   0.00248591 
  0.00180446   0.00246705 
  0.00178461   0.00250691 
  0.00179686   0.00250403 
  0.00179336   0.00248106 
  0.00182222   0.00247445 
  0.00179745   0.00256956 
  0.00180377   0.00251734 
  0.00178166   0.00250013 
  0.00178543   0.00252172 
  0.00179864   0.00252505 
