#      Train        Test
   0.0115608   0.00996201 
   0.0088791    0.0107916 
  0.00799241   0.00848172 
  0.00729166   0.00831448 
  0.00682434   0.00972384 
  0.00647884   0.00874799 
  0.00623075   0.00549869 
  0.00595041    0.0068609 
   0.0058389   0.00641264 
  0.00565569   0.00606323 
  0.00553047   0.00562644 
  0.00541325   0.00707262 
  0.00534692   0.00578034 
  0.00521386   0.00583348 
  0.00516814   0.00536541 
  0.00511722   0.00571441 
  0.00503153   0.00473445 
  0.00498544   0.00492103 
  0.00496333   0.00513489 
  0.00491269   0.00501849 
  0.00487663   0.00546088 
  0.00487328   0.00524864 
  0.00476781   0.00563996 
  0.00477162   0.00619928 
  0.00473969   0.00524503 
  0.00470005   0.00520597 
  0.00469803   0.00490074 
  0.00461278   0.00463594 
  0.00462246   0.00458811 
  0.00463722   0.00510612 
   0.0045802    0.0043237 
  0.00458105   0.00395156 
   0.0045758   0.00436119 
  0.00452336   0.00508304 
  0.00451096    0.0046005 
  0.00447444   0.00513435 
  0.00449344   0.00458048 
  0.00442472   0.00497237 
  0.00444197   0.00432932 
  0.00439774   0.00455062 
  0.00442727   0.00431021 
   0.0044104    0.0048362 
   0.0043627   0.00479452 
  0.00436619   0.00461748 
  0.00431277   0.00415197 
  0.00433741   0.00447587 
  0.00430321   0.00402628 
  0.00432006   0.00404219 
  0.00429653   0.00581472 
  0.00430031   0.00445431 
  0.00423738   0.00407929 
  0.00429596   0.00593398 
  0.00422901   0.00458665 
  0.00427498   0.00397929 
  0.00425229   0.00545992 
   0.0041877   0.00449307 
  0.00422382   0.00435906 
  0.00418583   0.00366464 
  0.00420704   0.00431862 
  0.00414191   0.00444022 
  0.00319925    0.0026977 
  0.00295712   0.00287498 
  0.00288651   0.00276997 
  0.00282479   0.00274396 
   0.0027801   0.00268125 
  0.00269359   0.00281948 
  0.00268384   0.00270678 
  0.00266591    0.0025467 
  0.00261016   0.00256262 
  0.00258157    0.0025012 
  0.00257357   0.00282911 
  0.00259283    0.0026124 
  0.00254289   0.00274539 
  0.00250875   0.00270133 
  0.00246496   0.00251825 
  0.00249044   0.00244175 
  0.00246055   0.00259971 
  0.00245303   0.00269176 
