#      Train        Test
     0.45742       0.5395 
     0.59086       0.6185 
     0.63542       0.6585 
     0.66906       0.6676 
     0.69088        0.679 
     0.70874       0.6989 
     0.72282       0.7112 
      0.7353       0.7329 
     0.74224       0.7732 
      0.7498       0.7133 
     0.75228       0.7904 
     0.75924       0.6957 
     0.76714       0.7452 
     0.77042       0.7812 
     0.77164        0.734 
     0.77506       0.7377 
     0.77716       0.7497 
      0.7799       0.7355 
     0.78292       0.8029 
     0.78548       0.8113 
     0.78958       0.7929 
     0.78674       0.7855 
     0.78908       0.7847 
     0.78954        0.775 
     0.79568       0.8168 
     0.79628       0.8297 
     0.79508       0.8324 
     0.79544       0.8024 
     0.79624       0.8303 
     0.79976       0.8128 
     0.79836       0.7919 
     0.79588       0.7989 
      0.8004       0.8006 
     0.80284       0.8266 
      0.7992       0.8344 
     0.80216       0.8315 
     0.80026       0.8228 
     0.80456       0.8106 
     0.80208       0.8171 
     0.80592       0.7775 
     0.80426       0.7819 
      0.8062       0.8043 
     0.80856       0.8205 
     0.80926       0.8132 
     0.80858       0.7983 
     0.80764        0.803 
     0.80898       0.7962 
       0.809       0.8188 
     0.81152        0.823 
      0.8104       0.7768 
     0.81138       0.8179 
     0.81226       0.8246 
     0.81132       0.8453 
     0.81192       0.8269 
     0.81332       0.7984 
     0.81354       0.8313 
      0.8129       0.8226 
     0.81524       0.8049 
     0.81574       0.8167 
     0.81418       0.7983 
     0.85446       0.8813 
     0.86816       0.8814 
     0.87182       0.8858 
     0.87406       0.8921 
     0.87842       0.8901 
     0.87854       0.8927 
     0.87954       0.8936 
     0.88186         0.89 
     0.88324       0.8873 
     0.88466       0.8985 
     0.88678       0.8973 
     0.88688       0.8932 
     0.88862       0.8956 
     0.88734       0.8932 
     0.88856       0.8956 
      0.8908       0.8946 
     0.89216       0.8994 
     0.89156       0.8962 
     0.89312       0.8977 
     0.89312       0.8997 
     0.89228       0.8984 
     0.89414       0.8977 
     0.89384       0.8966 
     0.89478       0.8997 
     0.89586       0.8938 
     0.89578       0.8991 
       0.896       0.8908 
     0.89622       0.8995 
     0.89756       0.9013 
      0.8989       0.8993 
     0.89934       0.8939 
      0.8977       0.8965 
     0.89908       0.9026 
     0.89932       0.8935 
     0.89826       0.9001 
      0.9006       0.8988 
     0.89952        0.895 
     0.90244       0.8962 
     0.90292       0.8994 
       0.903       0.8914 
     0.90286       0.9062 
     0.90468       0.8995 
     0.90176       0.8983 
     0.90246       0.9046 
     0.90148       0.9032 
     0.90454       0.8951 
     0.90476       0.9066 
     0.90416       0.9032 
     0.90392       0.9025 
     0.90402       0.9012 
     0.90534       0.9088 
     0.90582       0.9089 
     0.90552       0.9047 
     0.90478       0.9083 
     0.90568       0.9029 
     0.90716       0.8945 
       0.905       0.9036 
     0.90722       0.8974 
     0.90706       0.9033 
      0.9086       0.9102 
     0.92538       0.9195 
     0.93114       0.9241 
     0.93176       0.9207 
     0.93358       0.9203 
     0.93622       0.9205 
      0.9347       0.9213 
      0.9366       0.9251 
     0.93856       0.9233 
     0.93956       0.9235 
     0.93768       0.9224 
     0.93832       0.9237 
      0.9396       0.9211 
     0.93944       0.9237 
     0.94018       0.9243 
       0.942       0.9225 
     0.94106        0.925 
     0.94218       0.9234 
     0.94358       0.9247 
       0.943       0.9234 
      0.9421       0.9217 
     0.94344       0.9239 
      0.9415       0.9206 
       0.943       0.9234 
     0.94394       0.9231 
     0.94334       0.9235 
     0.94488       0.9234 
      0.9433       0.9243 
       0.945       0.9252 
     0.94464       0.9236 
     0.94474       0.9243 
     0.94516       0.9227 
     0.94696       0.9226 
     0.94666       0.9223 
     0.94628        0.923 
     0.94662       0.9237 
     0.94666       0.9243 
      0.9459       0.9241 
     0.94798        0.925 
     0.94676       0.9263 
      0.9472       0.9249 
     0.95202       0.9253 
     0.95244       0.9278 
     0.95484       0.9282 
     0.95334       0.9273 
     0.95316       0.9277 
     0.95462       0.9283 
     0.95494       0.9269 
     0.95444       0.9271 
     0.95546       0.9287 
     0.95534       0.9292 
     0.95574       0.9286 
     0.95708       0.9277 
     0.95404       0.9264 
      0.9568       0.9278 
     0.95588       0.9272 
     0.95562       0.9279 
     0.95584       0.9269 
      0.9568       0.9293 
      0.9554       0.9286 
     0.95598       0.9295 
     0.95598       0.9288 
      0.9563       0.9281 
     0.95674       0.9281 
     0.95718        0.928 
     0.95716       0.9312 
      0.9559       0.9286 
     0.95766       0.9273 
     0.95738       0.9269 
     0.95624       0.9279 
     0.95756       0.9275 
     0.95752       0.9276 
      0.9586       0.9281 
     0.95788       0.9279 
     0.95788       0.9285 
     0.95806       0.9288 
      0.9575       0.9273 
     0.95804       0.9289 
      0.9582       0.9291 
     0.95936       0.9304 
     0.95766       0.9296 
