#      Train        Test
   0.0140374    0.0175611 
   0.0114712    0.0152423 
   0.0101815    0.0120818 
  0.00945737   0.00891455 
  0.00872093   0.00941756 
   0.0081615   0.00988256 
  0.00771229   0.00880913 
  0.00726201   0.00867928 
  0.00696184   0.00767459 
  0.00665516   0.00624107 
  0.00639962   0.00776317 
  0.00626011   0.00621363 
  0.00608023     0.009108 
  0.00583469   0.00617089 
  0.00579443   0.00926227 
   0.0058028   0.00597754 
  0.00550431   0.00599439 
  0.00541291   0.00612617 
  0.00528356   0.00552414 
  0.00524157    0.0084513 
  0.00506416   0.00522164 
  0.00513622    0.0050917 
  0.00470092   0.00603612 
  0.00491055   0.00446243 
  0.00474489   0.00608545 
  0.00453612    0.0046253 
  0.00452714   0.00453454 
  0.00461191    0.0043272 
  0.00445252   0.00435331 
  0.00430183   0.00407647 
  0.00433156     0.003888 
  0.00433974   0.00428046 
  0.00418911    0.0044381 
  0.00412936   0.00445738 
  0.00405448    0.0051232 
  0.00400393   0.00419039 
  0.00406704   0.00492225 
  0.00398594   0.00428765 
  0.00387848   0.00369947 
  0.00379384   0.00372104 
  0.00423984   0.00424334 
  0.00369354   0.00397614 
  0.00385709   0.00437017 
  0.00377343   0.00445534 
  0.00370214   0.00395783 
  0.00364165   0.00343414 
  0.00358442   0.00401278 
  0.00363658   0.00410129 
  0.00359944   0.00334682 
  0.00359108   0.00435419 
  0.00367494    0.0041132 
  0.00355487   0.00378946 
  0.00339848   0.00339709 
  0.00347357   0.00550661 
  0.00372926   0.00635522 
  0.00350896   0.00428193 
  0.00332647   0.00323367 
  0.00326895   0.00400982 
  0.00336354   0.00320734 
  0.00335784   0.00383964 
  0.00241896   0.00256886 
  0.00223749   0.00249478 
  0.00221524   0.00244034 
  0.00215262   0.00244507 
  0.00212555   0.00260101 
   0.0021284   0.00249961 
   0.0020563   0.00252218 
  0.00205307   0.00237833 
  0.00202917   0.00241375 
  0.00201061   0.00246542 
  0.00196704   0.00235399 
  0.00195572   0.00252547 
  0.00191137   0.00253477 
  0.00190928   0.00244251 
  0.00191865   0.00257637 
  0.00186435   0.00243323 
  0.00187159   0.00243791 
  0.00186722   0.00227381 
  0.00184739   0.00267977 
  0.00187422   0.00233442 
  0.00181518   0.00257219 
   0.0018224   0.00256279 
  0.00174367   0.00239668 
  0.00179013   0.00235234 
  0.00174883   0.00238699 
  0.00176939   0.00250589 
  0.00176344   0.00242684 
  0.00177921   0.00242033 
  0.00168479   0.00238335 
   0.0017101   0.00240989 
   0.0016964   0.00243777 
  0.00171083   0.00233552 
  0.00170802   0.00238595 
   0.0017123   0.00258301 
  0.00170493   0.00239741 
    0.001649   0.00240308 
   0.0016532    0.0024725 
  0.00167515   0.00243863 
  0.00164253   0.00248933 
   0.0016719   0.00241428 
  0.00161004   0.00237826 
   0.0016274   0.00248295 
  0.00159388   0.00254838 
  0.00163128   0.00249337 
  0.00157703   0.00257545 
  0.00162807   0.00259933 
  0.00158333   0.00252969 
  0.00160662   0.00236385 
  0.00156319   0.00238695 
  0.00159064    0.0025455 
  0.00153846   0.00247201 
   0.0015321    0.0025535 
  0.00154684   0.00243059 
  0.00152722    0.0025744 
  0.00153063   0.00260315 
  0.00154814   0.00244921 
   0.0015392   0.00249283 
  0.00154729   0.00231668 
  0.00151828   0.00255927 
   0.0015165   0.00268051 
  0.00128561   0.00229893 
  0.00120584   0.00233071 
  0.00121024   0.00226926 
  0.00119531   0.00238598 
  0.00120045   0.00230104 
  0.00119754   0.00232956 
  0.00120655   0.00236429 
  0.00118885   0.00236795 
  0.00117914   0.00230433 
  0.00116443   0.00229809 
  0.00116981   0.00236406 
   0.0011657   0.00233211 
  0.00114331   0.00236715 
  0.00113986    0.0025096 
  0.00113623   0.00235322 
  0.00115473   0.00231474 
  0.00113146   0.00250344 
  0.00112945   0.00235266 
  0.00112942   0.00244142 
  0.00113341   0.00236684 
  0.00110613   0.00238089 
  0.00111224   0.00240354 
  0.00110799   0.00245154 
  0.00108279   0.00243408 
  0.00112766   0.00233361 
  0.00111566    0.0024689 
  0.00110225   0.00244134 
   0.0011118    0.0024407 
  0.00111331   0.00237534 
  0.00115056   0.00239994 
  0.00105921   0.00239465 
  0.00113516   0.00242514 
  0.00108711   0.00241568 
  0.00108966   0.00236318 
  0.00109187   0.00236448 
  0.00108881   0.00242721 
   0.0010729   0.00239793 
  0.00105817    0.0024071 
   0.0010772   0.00238412 
   0.0010765   0.00243501 
  0.00102121   0.00239562 
  0.00103644   0.00238356 
  0.00102002   0.00236463 
  0.00101154    0.0023607 
  0.00100939   0.00238013 
 0.000992944   0.00240154 
  0.00102908    0.0023516 
  0.00100315   0.00235879 
 0.000999229   0.00239836 
 0.000996317   0.00236861 
 0.000991646   0.00240388 
  0.00098912   0.00236313 
 0.000999315   0.00230543 
  0.00101104   0.00232505 
  0.00100929   0.00237957 
 0.000980936   0.00244939 
 0.000970812   0.00239055 
 0.000995768   0.00240937 
  0.00100918   0.00249133 
 0.000980656   0.00247916 
 0.000985513   0.00236389 
 0.000986818   0.00235955 
 0.000980277   0.00237977 
 0.000973529   0.00253607 
 0.000991813   0.00235969 
 0.000991723   0.00240354 
   0.0009761   0.00238261 
 0.000984873   0.00239813 
    0.000987   0.00243598 
 0.000981763   0.00241663 
 0.000967732   0.00236527 
 0.000997386   0.00240728 
  0.00100263   0.00236765 
 0.000992816   0.00241003 
 0.000962279   0.00253291 
 0.000971902   0.00244377 
 0.000982145   0.00244098 
 0.000985706   0.00244976 
 0.000953052   0.00247978 
 0.000956412   0.00237279 
