#      Train        Test
   0.0125288    0.0122247 
   0.0095547   0.00954624 
  0.00849819   0.00835392 
  0.00787726   0.00859187 
  0.00738882   0.00818734 
  0.00692545   0.00738912 
  0.00652623   0.00730386 
  0.00627468   0.00536924 
  0.00601131   0.00556443 
  0.00585764   0.00628341 
  0.00562633   0.00529874 
  0.00553096    0.0051627 
  0.00530588   0.00469058 
  0.00517097   0.00454432 
  0.00505625   0.00512124 
  0.00489431   0.00540712 
   0.0047641   0.00484971 
  0.00474539   0.00518373 
  0.00459792   0.00431386 
  0.00453934   0.00425229 
  0.00441685   0.00444257 
  0.00437927   0.00483567 
  0.00431537   0.00537569 
  0.00422157   0.00367377 
   0.0041432   0.00406262 
  0.00413009   0.00448863 
  0.00403399   0.00373526 
  0.00397203   0.00434245 
  0.00396455   0.00435248 
  0.00385746   0.00447291 
  0.00344938   0.00362948 
  0.00330472   0.00308402 
  0.00331246   0.00346102 
  0.00321142   0.00326328 
  0.00313674   0.00318266 
  0.00302069   0.00310923 
  0.00303275   0.00315313 
  0.00293848   0.00308955 
   0.0029745   0.00297567 
  0.00291577   0.00302165 
  0.00284947   0.00300154 
  0.00283293   0.00290059 
  0.00283143   0.00289822 
  0.00279956   0.00300377 
  0.00276324   0.00288498 
  0.00273994   0.00287668 
  0.00267354   0.00280436 
  0.00268547   0.00286414 
  0.00266242    0.0028311 
  0.00257768   0.00293002 
  0.00257558   0.00285332 
  0.00259235   0.00277752 
  0.00256017   0.00291279 
  0.00249872   0.00281155 
  0.00247021   0.00273094 
  0.00248588   0.00270694 
  0.00244136    0.0027784 
  0.00246238   0.00285999 
  0.00242616   0.00290969 
  0.00243595   0.00286911 
  0.00236956   0.00269068 
  0.00240621   0.00283563 
  0.00237563   0.00284832 
  0.00241209   0.00275488 
  0.00239507   0.00294569 
   0.0024084   0.00275315 
  0.00236594   0.00271092 
  0.00236216   0.00281337 
  0.00240147   0.00284747 
  0.00238165   0.00273447 
  0.00234251    0.0027383 
  0.00237759   0.00289972 
  0.00236201   0.00265206 
  0.00235492   0.00276623 
  0.00234058   0.00277253 
  0.00231243   0.00308744 
  0.00236352    0.0027503 
  0.00234112   0.00285013 
  0.00230654   0.00296475 
