#      Train        Test
     0.40252       0.4443 
     0.56044       0.5949 
     0.61076       0.6305 
     0.63726       0.6007 
     0.66906        0.697 
     0.69328       0.6978 
       0.709       0.7432 
     0.72294       0.7332 
     0.73402       0.7514 
     0.74342       0.7699 
     0.75012        0.773 
     0.75836       0.7832 
      0.7664       0.7881 
     0.77578       0.7715 
      0.7799       0.7949 
      0.7826       0.7982 
     0.79022       0.8266 
     0.79542       0.7787 
      0.7986       0.8331 
     0.80182       0.7979 
      0.8035       0.8162 
     0.80786        0.829 
     0.81312       0.8141 
     0.81514       0.8228 
      0.8182       0.8259 
     0.82268       0.8335 
     0.82168       0.8311 
     0.82748       0.8359 
     0.82678       0.8412 
     0.83062        0.853 
       0.848       0.8672 
      0.8533       0.8635 
     0.85582       0.8726 
     0.85918        0.866 
     0.86364       0.8781 
     0.86568       0.8757 
     0.87004       0.8778 
      0.8688       0.8766 
     0.86932       0.8769 
     0.87222       0.8801 
     0.87544       0.8782 
     0.87636       0.8786 
     0.87526       0.8854 
     0.87584       0.8782 
     0.87832       0.8853 
      0.8769       0.8834 
     0.88032       0.8847 
     0.88018       0.8857 
     0.88268       0.8823 
     0.88294       0.8853 
     0.88478       0.8824 
     0.88458       0.8809 
     0.88688       0.8902 
     0.88992       0.8876 
     0.88682       0.8812 
     0.88894       0.8899 
       0.891       0.8901 
     0.88918       0.8836 
      0.8951        0.886 
      0.8933       0.8967 
      0.8933        0.889 
      0.8958       0.8885 
     0.89622       0.8897 
     0.89514        0.891 
     0.89582       0.8904 
     0.89462       0.8869 
     0.89446       0.8887 
     0.89536       0.8898 
     0.89304       0.8865 
      0.8981       0.8963 
     0.89588       0.8883 
     0.89558       0.8895 
     0.89688       0.8941 
      0.8956       0.8807 
      0.8964       0.8888 
     0.89458       0.8931 
      0.8995       0.8887 
     0.89904       0.8936 
     0.89562       0.8929 
     0.89806       0.8907 
     0.89758       0.8943 
     0.89308       0.8853 
      0.8967       0.8838 
      0.8961        0.889 
     0.89786       0.8879 
     0.89626       0.8836 
     0.89906       0.8946 
     0.90022        0.893 
      0.8985       0.8904 
      0.8969       0.8949 
     0.89682       0.8842 
     0.89924       0.8882 
     0.90238        0.895 
     0.89848       0.8866 
     0.89916       0.8846 
     0.89896       0.8899 
      0.9026       0.8936 
     0.90196       0.8911 
     0.90138       0.8927 
     0.90194       0.8961 
     0.91074       0.8952 
     0.91182       0.8969 
     0.91472       0.9002 
      0.9134       0.8979 
       0.915        0.903 
     0.91566        0.899 
     0.91634       0.8958 
     0.91554       0.9013 
     0.91706       0.8956 
     0.91452        0.902 
      0.9177       0.8985 
     0.91866       0.9038 
     0.91816       0.8977 
        0.92       0.8988 
     0.91908       0.9023 
     0.92208       0.8992 
     0.91936       0.9013 
     0.92154       0.8997 
     0.92152       0.9042 
     0.92054       0.9058 
     0.91916       0.8973 
     0.92034       0.8989 
     0.92158       0.9009 
     0.92164       0.9039 
      0.9218       0.8988 
      0.9229       0.8997 
     0.92394        0.898 
      0.9239       0.9023 
     0.92134       0.9008 
     0.92352       0.9007 
     0.92324       0.8994 
      0.9253       0.8995 
     0.92478        0.899 
      0.9255       0.9017 
     0.92448       0.9004 
     0.92522       0.8977 
     0.92466       0.8997 
      0.9259       0.9039 
      0.9263       0.8995 
     0.92638       0.9006 
     0.92938       0.8967 
     0.92698       0.9018 
     0.92826       0.9016 
      0.9268       0.9011 
      0.9272       0.9039 
     0.92756       0.9073 
     0.92796       0.9026 
     0.92706       0.9025 
     0.92912       0.9007 
     0.92874       0.9048 
      0.9285       0.9043 
      0.9308        0.897 
     0.93016       0.9018 
     0.92998       0.8978 
     0.92956       0.9027 
     0.93174       0.9037 
     0.93104        0.904 
     0.93154       0.9027 
      0.9325       0.9024 
     0.93222       0.9021 
     0.93732       0.9056 
      0.9404       0.9071 
     0.93776       0.9072 
     0.94092       0.9075 
     0.93998       0.9081 
     0.94042       0.9074 
      0.9411       0.9066 
     0.94112       0.9072 
     0.94222       0.9061 
      0.9407       0.9081 
     0.93904       0.9074 
       0.942       0.9078 
     0.94202       0.9074 
     0.94196       0.9065 
      0.9419       0.9087 
      0.9429       0.9085 
     0.94358       0.9093 
     0.94126       0.9075 
     0.94262       0.9086 
       0.941       0.9095 
     0.94398       0.9058 
      0.9435       0.9061 
     0.94208       0.9056 
     0.94262       0.9077 
     0.94244       0.9084 
     0.94036       0.9067 
     0.94406        0.908 
     0.94338        0.905 
      0.9434       0.9059 
     0.94432       0.9071 
     0.94432       0.9067 
     0.94362       0.9071 
     0.94358       0.9069 
     0.94356       0.9054 
     0.94322       0.9075 
     0.94452       0.9071 
      0.9446       0.9069 
     0.94308       0.9072 
     0.94412       0.9061 
     0.94538       0.9066 
