#      Train        Test
      0.4049       0.4788 
      0.5531       0.6152 
      0.6088       0.6489 
     0.64756       0.6177 
      0.6692       0.6691 
     0.68968       0.7067 
     0.70016       0.7097 
     0.71284       0.7195 
     0.72376       0.7601 
     0.72594       0.6771 
     0.73494       0.7225 
     0.74084       0.7253 
     0.74592       0.7648 
     0.75088       0.7592 
      0.7508       0.7652 
     0.75266       0.7482 
     0.75692       0.7642 
      0.7567       0.7716 
     0.76146       0.7858 
      0.7635       0.7908 
     0.76256       0.7907 
     0.76398       0.7824 
     0.76662       0.7237 
     0.77174       0.7515 
     0.77066       0.7744 
      0.7724       0.7702 
     0.77036       0.8062 
     0.77224       0.7908 
     0.77498       0.7685 
       0.772       0.7818 
     0.77434       0.8124 
     0.77528       0.7706 
     0.77646       0.7968 
     0.77744       0.7743 
     0.77576       0.7506 
     0.77718       0.7407 
     0.77466       0.7992 
     0.78226        0.793 
     0.78166       0.7973 
     0.78074       0.8081 
     0.78096       0.8208 
     0.78188       0.7389 
     0.78226       0.8083 
     0.78132       0.8073 
     0.78344       0.7514 
     0.78624        0.781 
     0.78386        0.812 
     0.78324       0.7804 
     0.78526       0.8323 
      0.7867       0.7632 
     0.78788       0.8052 
     0.78502       0.7936 
     0.78626       0.7894 
     0.78334       0.8092 
      0.7864       0.8062 
     0.78518       0.7738 
     0.78632       0.8029 
     0.78568       0.7602 
     0.78812       0.8027 
     0.78978       0.7926 
       0.843       0.8718 
       0.858        0.869 
     0.86108       0.8829 
     0.86342       0.8815 
      0.8656       0.8724 
     0.86854        0.878 
     0.86788       0.8887 
     0.86738       0.8895 
     0.86832       0.8878 
     0.86952       0.8712 
     0.86738       0.8689 
     0.86708       0.8777 
     0.86682       0.8854 
     0.86892        0.875 
     0.86666       0.8822 
     0.86846       0.8833 
     0.86778       0.8747 
     0.86676       0.8777 
     0.86776       0.8691 
     0.86784       0.8703 
     0.86968       0.8748 
     0.86828       0.8825 
     0.86876       0.8892 
     0.86944       0.8732 
      0.8662        0.882 
     0.86894        0.885 
     0.86958       0.8858 
     0.87236       0.8739 
       0.872       0.8834 
      0.8715       0.8816 
     0.87094       0.8676 
     0.86926       0.8761 
      0.8721        0.875 
     0.87046       0.8822 
     0.87254       0.8796 
     0.87098       0.8846 
     0.87228       0.8822 
     0.87152       0.8807 
     0.87372       0.8826 
     0.87324       0.8752 
     0.87404       0.8782 
      0.8705       0.8763 
     0.87516       0.8943 
     0.87274       0.8794 
     0.87776       0.8885 
     0.87244       0.8874 
     0.87694       0.8857 
      0.8747       0.8838 
     0.87516       0.8767 
     0.87604       0.8865 
     0.87548       0.8842 
     0.87604       0.8784 
     0.87582       0.8852 
     0.87596       0.8919 
      0.8773       0.8917 
     0.87632       0.8854 
     0.87558       0.8932 
      0.8767       0.8694 
     0.87978       0.8839 
      0.8758        0.878 
     0.90764        0.914 
     0.91578       0.9147 
      0.9215       0.9151 
     0.92176       0.9188 
     0.92412       0.9199 
     0.92406       0.9189 
     0.92594       0.9228 
     0.92608       0.9197 
     0.92862       0.9219 
     0.92598       0.9172 
     0.92922       0.9207 
      0.9295       0.9188 
     0.92848       0.9197 
      0.9293       0.9203 
     0.92868       0.9193 
     0.93218       0.9202 
     0.93024         0.92 
     0.93034        0.921 
     0.93164       0.9184 
     0.93216       0.9183 
      0.9313       0.9214 
      0.9349       0.9196 
     0.93232       0.9176 
     0.93302       0.9172 
     0.93522       0.9217 
     0.93168       0.9231 
      0.9329        0.918 
      0.9332       0.9169 
     0.93246       0.9195 
     0.93246       0.9175 
     0.93368       0.9216 
     0.93612       0.9187 
     0.93306       0.9181 
     0.93352       0.9202 
      0.9355       0.9201 
     0.93562       0.9175 
     0.93166       0.9172 
      0.9332       0.9198 
     0.93224       0.9174 
     0.93406       0.9198 
     0.94608       0.9274 
      0.9501       0.9297 
     0.95112       0.9309 
     0.95152       0.9283 
     0.95364       0.9286 
     0.95484       0.9309 
     0.95256       0.9285 
     0.95306       0.9305 
     0.95356       0.9281 
     0.95546       0.9308 
     0.95436        0.928 
     0.95372       0.9292 
     0.95576       0.9303 
      0.9548       0.9309 
     0.95622       0.9299 
     0.95746       0.9287 
     0.95728       0.9297 
      0.9559       0.9321 
     0.95822       0.9298 
     0.95854       0.9299 
     0.95874         0.93 
     0.95696       0.9281 
     0.95726       0.9299 
     0.95718       0.9292 
     0.95916       0.9301 
     0.95848       0.9297 
     0.95738       0.9281 
     0.95904       0.9286 
     0.95814       0.9284 
     0.95872       0.9291 
      0.9593       0.9294 
     0.95898       0.9306 
      0.9588       0.9298 
      0.9599       0.9292 
      0.9597       0.9316 
     0.95826         0.93 
      0.9606       0.9287 
      0.9597       0.9293 
     0.96008       0.9307 
      0.9582       0.9289 
