#      Train        Test
   0.0124278    0.0114233 
  0.00961347   0.00869341 
  0.00853833   0.00812901 
  0.00779478   0.00927627 
  0.00730062   0.00813641 
  0.00691152   0.00675585 
  0.00667742   0.00693854 
  0.00642848   0.00698099 
  0.00622588   0.00559648 
  0.00611914   0.00832369 
   0.0059458   0.00710153 
  0.00582897   0.00663218 
  0.00573324    0.0054868 
  0.00562267   0.00583089 
  0.00561492   0.00549182 
  0.00553594   0.00623644 
  0.00544105   0.00567846 
  0.00544508   0.00554371 
  0.00536929   0.00513805 
  0.00532048    0.0050471 
  0.00535484   0.00494261 
  0.00530305   0.00530469 
   0.0052308   0.00705701 
  0.00518638    0.0062679 
  0.00514807   0.00541061 
  0.00514849   0.00564487 
    0.005153   0.00445316 
  0.00511238   0.00501504 
  0.00509134   0.00543576 
  0.00513193   0.00548822 
  0.00508687   0.00450489 
  0.00504789   0.00549713 
  0.00502832   0.00478625 
  0.00501329   0.00551885 
  0.00502764   0.00615162 
  0.00500397   0.00687741 
  0.00503424   0.00488029 
  0.00494572   0.00487348 
  0.00493789   0.00488938 
  0.00493263   0.00475721 
  0.00494578   0.00412091 
  0.00493197   0.00655084 
  0.00493348   0.00453859 
  0.00494581   0.00479149 
  0.00487553   0.00597169 
  0.00484372   0.00545484 
  0.00488074   0.00440658 
  0.00491942   0.00539927 
  0.00484748   0.00391691 
  0.00483225   0.00573536 
  0.00477337   0.00461053 
  0.00483311   0.00497674 
  0.00481398   0.00519636 
  0.00489593   0.00475222 
  0.00485854   0.00468187 
  0.00479888   0.00568172 
  0.00482891   0.00463335 
  0.00480014   0.00617815 
  0.00481264   0.00479321 
  0.00476561   0.00503183 
  0.00355751   0.00300576 
  0.00321567   0.00319803 
  0.00312076    0.0027464 
  0.00309503   0.00284703 
  0.00302917   0.00315902 
  0.00297469   0.00296682 
  0.00301328   0.00268817 
    0.003003   0.00257843 
  0.00297246   0.00265029 
   0.0029592   0.00313037 
  0.00296368    0.0032481 
  0.00299421   0.00296834 
  0.00297751   0.00282956 
  0.00296001   0.00302366 
  0.00296206   0.00287051 
  0.00297783    0.0028156 
  0.00296998   0.00304502 
  0.00299445   0.00301646 
  0.00296489   0.00316108 
  0.00296612   0.00327106 
  0.00294487   0.00311817 
  0.00298269   0.00289288 
  0.00296317   0.00265845 
  0.00294908   0.00309162 
  0.00299006   0.00291596 
  0.00295972   0.00279192 
  0.00292878   0.00277793 
  0.00288522    0.0030782 
  0.00288594   0.00293858 
  0.00289269   0.00286319 
  0.00290438   0.00330024 
  0.00290326   0.00318573 
  0.00285546   0.00302198 
  0.00289901    0.0029093 
  0.00285007   0.00304204 
  0.00286281   0.00295688 
  0.00289024   0.00281106 
  0.00286925   0.00289923 
  0.00285715   0.00281596 
  0.00285758   0.00303904 
  0.00282419   0.00304016 
   0.0028966   0.00292455 
  0.00280776   0.00260201 
  0.00282804   0.00309605 
  0.00275063   0.00273365 
  0.00283955   0.00274176 
  0.00277459   0.00280925 
  0.00282131   0.00286019 
  0.00279707   0.00304593 
  0.00280346   0.00283383 
  0.00277738   0.00280904 
  0.00278655   0.00300747 
  0.00277006   0.00300997 
  0.00279314   0.00265202 
  0.00274083   0.00262631 
  0.00277807   0.00286875 
  0.00279207   0.00273644 
   0.0027537   0.00326458 
  0.00272017   0.00289916 
  0.00277104   0.00289193 
  0.00208148   0.00207356 
  0.00190062   0.00211204 
  0.00180556   0.00210784 
  0.00178954   0.00199222 
  0.00171747   0.00199097 
  0.00173689   0.00201417 
  0.00169592   0.00199339 
  0.00165577   0.00199704 
  0.00162315   0.00198658 
  0.00166829   0.00205475 
  0.00159807   0.00197034 
  0.00160126   0.00210044 
  0.00159527    0.0020078 
  0.00158939   0.00204835 
  0.00158172    0.0020404 
  0.00155342   0.00208744 
  0.00156931   0.00201985 
  0.00155732   0.00203174 
  0.00154738   0.00210786 
  0.00153676   0.00204952 
  0.00153486   0.00199853 
  0.00147027   0.00204362 
  0.00153182   0.00210584 
  0.00150608   0.00209776 
   0.0014728   0.00197108 
  0.00154354    0.0019916 
   0.0015035   0.00213955 
  0.00150699   0.00205481 
   0.0015155   0.00213982 
  0.00150495   0.00212554 
  0.00148053    0.0020723 
  0.00146974    0.0021794 
  0.00152233   0.00216987 
  0.00149535   0.00210923 
  0.00145158   0.00206877 
  0.00144154   0.00211303 
  0.00150869   0.00229224 
   0.0014931   0.00211171 
  0.00149318   0.00214749 
  0.00146138   0.00208122 
  0.00123386   0.00196221 
  0.00116407   0.00187595 
  0.00114398   0.00183251 
  0.00112593   0.00187497 
   0.0010783   0.00189079 
  0.00106677     0.001918 
  0.00109839   0.00186004 
  0.00106931   0.00186267 
  0.00107163   0.00190118 
  0.00104259   0.00183486 
  0.00104122   0.00195324 
  0.00105092   0.00187216 
  0.00102531   0.00185864 
   0.0010318   0.00188298 
  0.00101389   0.00191656 
  0.00100732   0.00189955 
 0.000993814   0.00193324 
  0.00101649   0.00182863 
 0.000974203   0.00184878 
 0.000978608   0.00190593 
 0.000968762   0.00187517 
 0.000987987   0.00191909 
 0.000979093   0.00191855 
 0.000983055   0.00195193 
 0.000961521   0.00188257 
 0.000974365   0.00187512 
 0.000985036   0.00191187 
 0.000961864   0.00191778 
 0.000957412   0.00194162 
 0.000949175   0.00195668 
  0.00094371   0.00199236 
 0.000955069   0.00190397 
 0.000947081   0.00192395 
  0.00095017   0.00191185 
 0.000944311   0.00190506 
 0.000960935   0.00201142 
 0.000926318   0.00198753 
 0.000927085   0.00192922 
 0.000929805   0.00194722 
 0.000954774   0.00192486 
