#      Train        Test
     0.16378       0.1068 
     0.16012       0.1098 
     0.16052       0.1457 
     0.15398       0.1336 
      0.1605       0.1286 
     0.16214          0.1 
      0.1603          0.1 
     0.15298          0.1 
     0.15998       0.1226 
     0.15376       0.0999 
     0.16384       0.1024 
     0.16108       0.1758 
     0.16064       0.1025 
      0.1624       0.0855 
     0.15698       0.1692 
     0.15836       0.1286 
     0.15502       0.1064 
     0.14898       0.0783 
     0.16584       0.1474 
     0.16792       0.0696 
     0.16308       0.1011 
      0.1573       0.1001 
     0.15796       0.0999 
     0.16042          0.1 
     0.15498       0.1243 
     0.16144       0.0967 
     0.15958       0.0977 
     0.16008       0.1021 
     0.15512       0.1001 
     0.15908       0.0877 
     0.15584       0.1054 
     0.15916        0.095 
     0.15942       0.1022 
     0.15852       0.0996 
      0.1543       0.1168 
      0.1634       0.1061 
     0.15568          0.1 
     0.15648       0.0877 
     0.16318       0.1001 
     0.16364       0.1662 
     0.15896       0.1102 
     0.15464       0.1107 
     0.16202       0.1026 
     0.15808       0.1069 
     0.16084       0.0931 
     0.15502       0.1195 
     0.15578       0.0992 
     0.15498       0.1042 
     0.16032       0.1045 
     0.15982       0.0892 
     0.16162       0.1315 
     0.15966       0.1489 
     0.15848          0.1 
      0.1601          0.1 
     0.15966       0.0941 
     0.15268          0.1 
     0.15914       0.1018 
     0.16434       0.1602 
       0.154       0.0956 
     0.16144       0.1171 
     0.23972       0.1192 
     0.24326       0.1981 
      0.2429       0.1539 
     0.24864       0.1872 
      0.2468       0.1296 
     0.24042       0.0997 
     0.24012       0.1301 
      0.2409       0.1227 
     0.24186       0.1528 
     0.24388       0.1503 
     0.24164       0.2283 
     0.23934       0.1638 
      0.2395       0.2313 
     0.24174       0.1786 
     0.23928       0.1466 
     0.23834       0.2305 
     0.24252       0.1395 
     0.24228       0.1545 
      0.2442       0.1732 
     0.24394       0.1483 
     0.24622       0.1612 
     0.23748       0.2496 
     0.24616       0.1414 
     0.23828       0.2237 
     0.24432       0.1424 
     0.24314       0.1717 
     0.24634       0.1633 
     0.24354       0.1705 
     0.24516       0.1982 
     0.24426       0.1893 
     0.24458       0.1958 
     0.24866       0.1703 
     0.24572       0.1463 
     0.24442       0.2326 
     0.24368        0.155 
     0.24624       0.1773 
     0.24402       0.1696 
     0.24776       0.1867 
     0.24254       0.2227 
     0.24834       0.2113 
     0.24314       0.1199 
     0.24166       0.1816 
      0.2456       0.1019 
     0.24616       0.1512 
     0.24924       0.2203 
     0.24678       0.1018 
     0.24036        0.204 
     0.25166       0.2322 
     0.24442       0.1928 
     0.24372       0.1892 
     0.24326       0.1803 
     0.24786       0.1612 
      0.2501       0.1825 
      0.2494       0.1145 
     0.25006       0.1279 
     0.24706       0.2687 
     0.24478       0.2182 
      0.2446       0.2067 
     0.24274       0.2116 
     0.24636        0.157 
     0.34448       0.1649 
     0.44102       0.3936 
     0.46896       0.3813 
     0.49012       0.2502 
      0.5074       0.3953 
     0.52594       0.5143 
     0.53072       0.4994 
     0.54798        0.358 
     0.55304       0.4739 
     0.55914        0.522 
      0.5705       0.4283 
     0.57622       0.4831 
     0.58494       0.5518 
     0.59114       0.4826 
      0.5959       0.5318 
     0.60588       0.4933 
     0.60996       0.5891 
     0.61924       0.4734 
     0.62372       0.4254 
     0.62732       0.5381 
     0.62944       0.4094 
     0.63162       0.6417 
     0.63744       0.5503 
     0.63596       0.4599 
     0.64436       0.5286 
     0.64478       0.5162 
     0.64564       0.5508 
     0.64902       0.4888 
     0.65382       0.5562 
       0.654       0.4128 
     0.65036       0.5069 
     0.65076       0.5461 
     0.65434       0.6335 
     0.65686        0.558 
     0.65798       0.5323 
     0.65768       0.5529 
      0.6597        0.598 
     0.66164       0.5425 
     0.66202       0.5312 
     0.66216        0.643 
     0.73188       0.7569 
     0.74292       0.7501 
     0.74826       0.7722 
      0.7526        0.769 
      0.7577       0.7689 
     0.76062       0.6908 
      0.7643       0.8037 
     0.76826       0.7515 
     0.77292       0.7671 
      0.7778       0.7704 
     0.77676        0.765 
     0.77758        0.785 
     0.77788       0.7865 
     0.77882       0.7793 
     0.78326        0.799 
      0.7866        0.805 
     0.78872       0.8196 
     0.78908       0.7884 
     0.78914       0.8129 
        0.79       0.7942 
     0.79278       0.8168 
      0.7935       0.7573 
      0.7963       0.8144 
     0.79772       0.8011 
     0.79486       0.7823 
     0.80184       0.8154 
      0.7999       0.8089 
     0.79952       0.7984 
       0.801       0.8106 
     0.80484       0.7923 
      0.8012       0.8211 
      0.8012       0.8208 
     0.80368       0.8068 
     0.80556       0.8204 
     0.80408        0.765 
     0.80638       0.8182 
     0.80726       0.8279 
     0.80642       0.8362 
      0.8077        0.808 
     0.80964       0.8152 
