#      Train        Test
   0.0201963    0.0205283 
   0.0181764    0.0188344 
   0.0184711    0.0492564 
   0.0186338    0.0234752 
   0.0182993    0.0195994 
   0.0189615    0.0201411 
   0.0184517    0.0207763 
   0.0186935    0.0227467 
   0.0195851    0.0203311 
   0.0184322    0.0210494 
   0.0184134    0.0204447 
   0.0185262     0.021645 
   0.0183713    0.0195383 
   0.0202568    0.0277412 
   0.0186446     0.020675 
   0.0183014    0.0211891 
   0.0183203    0.0192869 
    0.018342    0.0248939 
   0.0184045    0.0223682 
   0.0191854    0.0199172 
   0.0189361    0.0188781 
   0.0187141    0.0209221 
   0.0181805    0.0228496 
   0.0184057    0.0846512 
     0.02053    0.0205293 
   0.0183842    0.0360001 
   0.0187172    0.0193087 
   0.0187768    0.0223206 
   0.0186321    0.0181121 
   0.0194404    0.0447826 
   0.0180587    0.0207882 
   0.0199668    0.0194847 
   0.0181695    0.0193626 
   0.0187556    0.0185958 
   0.0183694    0.0205525 
   0.0186783    0.0203954 
   0.0186885     0.162058 
   0.0199566    0.0207735 
   0.0183225    0.0213565 
   0.0182985    0.0178257 
   0.0185598    0.0201749 
   0.0187048    0.0202166 
   0.0184467    0.0183193 
   0.0185266    0.0218585 
   0.0192046    0.0219109 
    0.018479    0.0192269 
   0.0185338    0.0202066 
   0.0186426    0.0275133 
   0.0183788    0.0237928 
   0.0186546    0.0427345 
   0.0184404    0.0206371 
    0.018931    0.0187149 
   0.0182301    0.0206166 
    0.019514    0.0199798 
   0.0190224    0.0302257 
   0.0182504     0.019711 
   0.0186486    0.0456641 
   0.0195192     0.182075 
   0.0185334    0.0178125 
   0.0181306    0.0239368 
   0.0155797     0.300689 
   0.0152032     0.017768 
   0.0151954    0.0266638 
   0.0151425    0.0155016 
   0.0152651    0.0164153 
   0.0152604    0.0168515 
   0.0151911    0.0155037 
   0.0150945    0.0211321 
   0.0152155     0.114243 
   0.0152271    0.0269697 
   0.0152615    0.0177173 
   0.0151357    0.0196906 
   0.0152523    0.0160198 
   0.0152314    0.0167748 
   0.0152124    0.0189298 
   0.0151904    0.0252278 
   0.0151867    0.0200932 
    0.015155    0.0203859 
   0.0152144     0.016391 
   0.0151329    0.0239799 
   0.0151238    0.0551155 
   0.0152177    0.0212555 
   0.0152159    0.0282787 
   0.0151847    0.0163537 
   0.0152723    0.0186081 
   0.0152222    0.0166694 
   0.0151833    0.0217398 
    0.015108    0.0254164 
   0.0151439    0.0162367 
   0.0150721    0.0185331 
   0.0151344    0.0455702 
   0.0151248      0.02227 
   0.0150949    0.0154712 
   0.0151033    0.0181805 
    0.015078    0.0168201 
   0.0150762    0.0207124 
   0.0150439    0.0271046 
   0.0152276    0.0197864 
   0.0151517    0.0242653 
   0.0150953    0.0246612 
    0.015064    0.0177481 
   0.0151746    0.0189807 
   0.0150993    0.0198379 
   0.0151438    0.0167773 
    0.015275    0.0478877 
   0.0150923    0.0155946 
   0.0151293     0.017118 
   0.0151421    0.0206492 
   0.0150789    0.0176767 
    0.015115    0.0188358 
   0.0151663    0.0232593 
   0.0150914    0.0216556 
   0.0152073    0.0244686 
   0.0151175    0.0319867 
   0.0151536    0.0190983 
   0.0150767    0.0235696 
   0.0151053    0.0191524 
   0.0151866    0.0273124 
   0.0151274    0.0158325 
   0.0151599    0.0198722 
   0.0131427    0.0183489 
   0.0117757    0.0199925 
   0.0111234     0.015048 
   0.0107912    0.0146495 
   0.0105296    0.0140053 
   0.0103625    0.0165391 
   0.0100415    0.0221471 
  0.00986403     0.015086 
  0.00963747    0.0172342 
  0.00943015    0.0111881 
  0.00923177    0.0148219 
  0.00909393     0.017101 
  0.00897834    0.0111165 
  0.00882527    0.0101033 
   0.0086867    0.0180497 
  0.00864376     0.015293 
  0.00842679    0.0101033 
  0.00834911   0.00933302 
  0.00830049    0.0111476 
  0.00817723    0.0086436 
  0.00810243    0.0129857 
  0.00804206   0.00983699 
  0.00794966    0.0110318 
  0.00793948   0.00998501 
  0.00790359   0.00839722 
  0.00784679    0.0137303 
  0.00783877    0.0105018 
  0.00782662    0.0115044 
  0.00774862    0.0153264 
  0.00772423    0.0171052 
  0.00771739    0.0124864 
  0.00768603     0.014106 
  0.00761095    0.0127056 
  0.00760666   0.00987613 
  0.00759445    0.0114608 
  0.00753997    0.0111382 
  0.00758803   0.00798579 
  0.00747982   0.00831093 
  0.00751564   0.00904054 
  0.00744086    0.0120995 
   0.0060235   0.00559894 
   0.0057489    0.0053611 
  0.00559608   0.00505208 
  0.00551223   0.00527923 
  0.00544233   0.00550572 
  0.00535597   0.00520013 
    0.005304   0.00477117 
  0.00519445   0.00490675 
  0.00512026   0.00509143 
  0.00507667   0.00492168 
  0.00502294   0.00509034 
  0.00496546   0.00550624 
  0.00490791   0.00458332 
   0.0048999   0.00540925 
  0.00481908   0.00484072 
  0.00477179   0.00469289 
  0.00476612   0.00454889 
  0.00471313   0.00464941 
   0.0047072    0.0043307 
  0.00466678   0.00529312 
  0.00467025   0.00542807 
  0.00459995   0.00468794 
  0.00457215   0.00495893 
  0.00453102   0.00518854 
  0.00453625   0.00433865 
  0.00453537   0.00458681 
  0.00449549   0.00481788 
  0.00445764   0.00469908 
  0.00447452   0.00405021 
   0.0044403   0.00488507 
  0.00441466   0.00502816 
  0.00440328   0.00508207 
  0.00442925   0.00422835 
  0.00435135   0.00400931 
  0.00431312    0.0040324 
  0.00435457   0.00498177 
  0.00431139   0.00506301 
  0.00427157   0.00432055 
  0.00430818   0.00477269 
  0.00428062   0.00434478 
