#      Train        Test
     0.31516       0.3514 
     0.45926       0.4118 
     0.53128       0.5061 
     0.57232       0.6124 
     0.60632       0.6114 
     0.63232        0.621 
     0.65374       0.6483 
     0.67618       0.6655 
     0.69458       0.7084 
     0.70862       0.7436 
     0.71736        0.712 
     0.72648       0.7479 
      0.7349       0.7092 
     0.74522       0.7751 
     0.74902       0.7279 
     0.75284       0.7852 
     0.76208       0.7755 
     0.76562       0.7905 
     0.77274       0.7876 
      0.7757       0.7559 
     0.78142       0.7987 
      0.7799       0.8007 
     0.79556       0.7889 
     0.79116       0.8169 
     0.79672       0.7848 
      0.8045       0.8236 
     0.80374       0.8189 
     0.80138       0.8371 
     0.80864       0.8296 
      0.8141       0.8374 
     0.81368       0.8456 
     0.81358       0.8395 
      0.8224       0.8354 
      0.8239        0.832 
     0.82672       0.8268 
      0.8262       0.8435 
     0.82472       0.8366 
      0.8298       0.8444 
     0.83408       0.8558 
     0.83682       0.8613 
     0.82182       0.8513 
     0.84018       0.8534 
     0.83552       0.8437 
     0.83824       0.8426 
      0.8418       0.8556 
     0.84424       0.8651 
      0.8447       0.8545 
      0.8424       0.8556 
     0.84412       0.8709 
     0.84676       0.8426 
     0.84534       0.8544 
     0.84756       0.8599 
     0.85284       0.8698 
     0.85018       0.8314 
      0.8438       0.8106 
     0.84978        0.846 
     0.85516       0.8767 
     0.86024       0.8668 
     0.85466       0.8764 
      0.8573       0.8653 
     0.89288       0.9008 
      0.8998       0.9035 
     0.90202        0.903 
     0.90368       0.9055 
     0.90454       0.9051 
     0.90586       0.9056 
     0.90798       0.9006 
      0.9072       0.9102 
     0.90992       0.9096 
     0.91002       0.9079 
     0.91112       0.9115 
     0.91178       0.9064 
     0.91522       0.9072 
      0.9147       0.9083 
     0.91398       0.9097 
      0.9176       0.9092 
      0.9164       0.9109 
     0.91592       0.9123 
     0.91662        0.906 
     0.91672        0.912 
     0.91788       0.9097 
     0.91774       0.9067 
     0.92124       0.9126 
     0.92016       0.9144 
     0.91952       0.9147 
     0.92034       0.9107 
     0.92116        0.912 
      0.9197       0.9121 
     0.92216       0.9101 
     0.92268       0.9143 
     0.92244       0.9144 
     0.92252       0.9125 
     0.92386       0.9125 
       0.923       0.9131 
     0.92306       0.9129 
     0.92522       0.9143 
     0.92526       0.9132 
     0.92484        0.914 
     0.92578        0.915 
     0.92512       0.9148 
      0.9277       0.9142 
     0.92624       0.9155 
     0.92846       0.9156 
     0.92538       0.9123 
     0.92942       0.9113 
     0.92676       0.9087 
     0.92788       0.9121 
     0.92774       0.9177 
      0.9283       0.9164 
     0.92884        0.912 
      0.9312        0.915 
     0.93096       0.9136 
      0.9299       0.9167 
     0.93072       0.9132 
     0.93042        0.911 
      0.9299       0.9145 
     0.92978       0.9141 
     0.93028       0.9177 
     0.93126       0.9107 
       0.931       0.9124 
     0.94212       0.9197 
      0.9455       0.9185 
     0.94554       0.9208 
     0.94606       0.9184 
     0.94474       0.9198 
     0.94466       0.9215 
     0.94516       0.9186 
     0.94638       0.9195 
     0.94664       0.9197 
     0.94748        0.922 
     0.94658        0.921 
     0.94668         0.92 
     0.94918       0.9199 
     0.94834       0.9202 
     0.94738       0.9212 
     0.94678       0.9205 
     0.94846        0.919 
     0.94936       0.9213 
     0.94696       0.9194 
     0.94778       0.9232 
     0.94868         0.92 
     0.94942       0.9213 
     0.94898         0.92 
     0.95022       0.9239 
      0.9487       0.9209 
     0.94904       0.9207 
     0.94908       0.9208 
     0.94852       0.9221 
     0.94928       0.9219 
     0.94612       0.9211 
     0.95154       0.9216 
     0.94918       0.9203 
     0.95058       0.9203 
     0.94994       0.9237 
     0.95034       0.9227 
     0.95042       0.9202 
     0.95022        0.922 
     0.95196       0.9217 
     0.95052       0.9232 
     0.95188       0.9217 
     0.95406        0.923 
     0.95236       0.9229 
     0.95366        0.923 
      0.9538       0.9233 
     0.95284       0.9232 
     0.95458       0.9236 
     0.95388       0.9234 
     0.95414       0.9236 
     0.95392       0.9233 
     0.95486       0.9234 
     0.95572       0.9215 
     0.95486       0.9229 
     0.95476       0.9247 
     0.95432       0.9223 
     0.95322        0.923 
     0.95476        0.924 
      0.9565       0.9226 
     0.95514       0.9239 
     0.95418       0.9213 
     0.95384       0.9236 
     0.95578       0.9232 
     0.95516       0.9234 
     0.95536        0.924 
     0.95456       0.9229 
     0.95386       0.9233 
     0.95528       0.9242 
      0.9544       0.9222 
       0.955       0.9226 
     0.95544       0.9216 
     0.95476       0.9243 
     0.95584        0.924 
      0.9553       0.9233 
     0.95434       0.9236 
     0.95454       0.9219 
     0.95568       0.9221 
     0.95608       0.9231 
     0.95488       0.9236 
     0.95622       0.9245 
     0.95702       0.9217 
       0.956       0.9242 
