#      Train        Test
   0.0137558    0.0116504 
    0.011063    0.0140447 
  0.00995231     0.010896 
  0.00909018    0.0097708 
  0.00841822    0.0125849 
  0.00801939   0.00736915 
   0.0074831    0.0083499 
  0.00697559   0.00657137 
  0.00691403   0.00795823 
  0.00662741   0.00705764 
  0.00644615   0.00701773 
  0.00630687   0.00666782 
   0.0059705    0.0076497 
  0.00604656   0.00615916 
  0.00597563   0.00571698 
  0.00563439   0.00545832 
  0.00554379   0.00623226 
  0.00546439   0.00771501 
  0.00537974    0.0076296 
  0.00522946   0.00513075 
  0.00515591   0.00504754 
  0.00498763   0.00640072 
  0.00487527   0.00534484 
  0.00490773     0.004968 
  0.00469459   0.00506736 
  0.00483534   0.00485054 
  0.00450433   0.00453296 
  0.00473268   0.00459527 
  0.00434322   0.00412809 
  0.00435428   0.00442757 
  0.00422599   0.00574723 
  0.00429767   0.00477595 
  0.00441409   0.00515538 
  0.00423525   0.00424112 
  0.00407348   0.00378778 
  0.00404204   0.00449107 
  0.00404434   0.00461324 
  0.00400587   0.00501352 
  0.00395837   0.00475958 
  0.00389893   0.00392052 
  0.00380158   0.00360433 
  0.00382584   0.00401704 
  0.00386943   0.00353016 
  0.00372243   0.00472797 
  0.00367485   0.00320953 
  0.00387856   0.00433793 
  0.00365535    0.0035894 
  0.00362786   0.00337427 
  0.00360408   0.00375019 
   0.0036066   0.00495565 
  0.00354051   0.00371062 
  0.00357726   0.00393446 
  0.00351313   0.00305028 
   0.0034658   0.00380049 
  0.00352334    0.0040092 
  0.00341452   0.00437339 
  0.00346188   0.00330804 
  0.00340506   0.00469626 
  0.00351903   0.00438615 
  0.00329944    0.0033889 
  0.00247699   0.00256302 
  0.00227434   0.00253267 
  0.00221904   0.00250385 
  0.00214369   0.00240663 
  0.00215055   0.00244669 
   0.0021254    0.0025027 
  0.00209581   0.00247639 
  0.00207351   0.00245396 
  0.00202063    0.0024105 
  0.00201112   0.00240444 
  0.00199308   0.00241132 
  0.00201349   0.00256605 
  0.00197197   0.00263773 
  0.00195198     0.002299 
  0.00192457   0.00246417 
  0.00190392   0.00239295 
  0.00190564   0.00258188 
  0.00186439   0.00243006 
   0.0018722   0.00235111 
   0.0018457   0.00237478 
  0.00184284   0.00230348 
  0.00180335   0.00237933 
  0.00181796   0.00234549 
  0.00179241   0.00241196 
  0.00178372    0.0025903 
  0.00176175   0.00240856 
  0.00179198    0.0023923 
  0.00175453   0.00246296 
  0.00177814   0.00236894 
  0.00174441   0.00244086 
  0.00173325   0.00243126 
  0.00175718   0.00229864 
  0.00168916   0.00245114 
  0.00173146   0.00251338 
  0.00169397   0.00231822 
  0.00167913   0.00233285 
  0.00167466    0.0024392 
  0.00167405    0.0026177 
  0.00168673   0.00243176 
  0.00161559   0.00231107 
  0.00166171   0.00258461 
   0.0016381   0.00251794 
  0.00163005   0.00257126 
  0.00162138   0.00253991 
  0.00159763   0.00242022 
  0.00161097   0.00242394 
  0.00160727   0.00247777 
  0.00159106   0.00251752 
   0.0015793   0.00259439 
   0.0016095   0.00233563 
  0.00156596   0.00243631 
  0.00153693   0.00242695 
  0.00151804   0.00226535 
  0.00154822   0.00263876 
  0.00152526   0.00244507 
  0.00149628   0.00240292 
  0.00154647   0.00245447 
  0.00153329   0.00251696 
  0.00154741   0.00256203 
  0.00149736   0.00249959 
  0.00129105   0.00222157 
  0.00124405    0.0023941 
  0.00123371   0.00232256 
  0.00126535   0.00231044 
  0.00120375   0.00230557 
  0.00118251   0.00226126 
  0.00119606   0.00231022 
  0.00115777   0.00241233 
  0.00117015   0.00244299 
  0.00118268   0.00232937 
  0.00115552   0.00227692 
  0.00117206   0.00237324 
  0.00115392   0.00232668 
  0.00112796   0.00244082 
   0.0011624   0.00235343 
  0.00116194   0.00237554 
   0.0011228   0.00246777 
  0.00114968   0.00238482 
  0.00114317   0.00240821 
  0.00112691   0.00252357 
  0.00113622   0.00247236 
  0.00112144   0.00238359 
  0.00111283   0.00242739 
  0.00112725   0.00239723 
   0.0011351   0.00239628 
  0.00111945   0.00229822 
  0.00111798   0.00241394 
   0.0010987   0.00238714 
  0.00111134    0.0023756 
   0.0010994   0.00238245 
  0.00110094   0.00237968 
  0.00111008   0.00252173 
  0.00108005     0.002356 
  0.00110969   0.00245924 
  0.00108717   0.00245724 
   0.0010927   0.00231883 
  0.00107173   0.00232538 
   0.0010899   0.00236369 
  0.00109169   0.00250848 
  0.00105048   0.00254359 
  0.00104323   0.00246319 
  0.00103686   0.00237607 
  0.00102082   0.00246135 
  0.00101427   0.00242487 
  0.00100681   0.00240064 
  0.00101308   0.00243219 
  0.00103585   0.00239169 
  0.00100169   0.00237545 
 0.000997243   0.00243135 
 0.000994183   0.00250155 
 0.000987504   0.00255777 
  0.00101958   0.00244865 
 0.000991663   0.00241891 
  0.00101677   0.00239102 
 0.000995678   0.00239174 
    0.001004   0.00245742 
 0.000986855   0.00242685 
  0.00101768   0.00243348 
  0.00103133   0.00249206 
 0.000989626   0.00243411 
   0.0010147   0.00238217 
 0.000985854   0.00237621 
  0.00102474   0.00240204 
 0.000984528   0.00240704 
 0.000972838   0.00242869 
 0.000989216   0.00253143 
  0.00097624   0.00242777 
 0.000970388   0.00243273 
 0.000963965   0.00247628 
 0.000999108   0.00251072 
 0.000995726   0.00239062 
 0.000974505   0.00242803 
 0.000963754   0.00250125 
 0.000979858   0.00244059 
 0.000989027   0.00248648 
 0.000981474   0.00250071 
  0.00100334   0.00247195 
 0.000972973   0.00243315 
 0.000987608   0.00244203 
 0.000980599   0.00244055 
