#      Train        Test
     0.40618       0.5376 
     0.58534       0.5643 
     0.63968       0.6494 
     0.67952       0.6711 
     0.71128       0.7362 
     0.73296       0.7507 
     0.74964         0.77 
     0.76026       0.7758 
     0.77142       0.8049 
     0.78198       0.7745 
      0.7925       0.8199 
     0.79736       0.8055 
     0.80644       0.8314 
     0.81112       0.8081 
     0.81368        0.822 
     0.82132       0.8392 
      0.8228       0.8266 
     0.82784       0.8538 
     0.83316       0.8487 
      0.8361        0.842 
      0.8411       0.8478 
     0.84336       0.8573 
     0.84518       0.8587 
     0.85008        0.855 
     0.85018       0.8641 
     0.85466       0.8688 
     0.85734       0.8759 
     0.86008       0.8677 
      0.8601         0.87 
     0.86106       0.8774 
     0.86738       0.8645 
     0.86702       0.8726 
     0.87066       0.8742 
     0.87188       0.8773 
     0.87336       0.8807 
     0.87746       0.8737 
     0.87476       0.8859 
     0.87732       0.8663 
      0.8796       0.8848 
       0.881       0.8845 
     0.88102       0.8714 
     0.88342       0.8869 
      0.8863       0.8829 
     0.88778       0.8911 
     0.88568        0.888 
     0.89104       0.8815 
     0.88956       0.8844 
     0.89288       0.8876 
     0.89208       0.8948 
     0.89362       0.8883 
     0.89696       0.8953 
     0.89644       0.8953 
     0.89712       0.8886 
     0.89842       0.8946 
     0.89726       0.8933 
     0.90046       0.9013 
     0.89854       0.8916 
     0.90148       0.8822 
     0.90188       0.8926 
     0.90354       0.8985 
      0.9226       0.9117 
     0.92704       0.9136 
     0.92916       0.9124 
     0.92818       0.9106 
     0.93136       0.9085 
     0.93188       0.9139 
     0.93226       0.9146 
     0.93266       0.9131 
     0.93338       0.9123 
     0.93484       0.9147 
     0.93652       0.9132 
     0.93638       0.9131 
     0.93696       0.9147 
     0.93466       0.9103 
     0.93834       0.9159 
     0.93748       0.9159 
     0.93856       0.9161 
     0.93958       0.9123 
     0.93944       0.9121 
     0.93962       0.9189 
     0.93964       0.9144 
     0.93858       0.9142 
     0.93976       0.9158 
     0.93962       0.9145 
     0.94186       0.9148 
     0.94194       0.9168 
     0.94106       0.9149 
     0.94206       0.9159 
     0.94336       0.9153 
      0.9432        0.915 
     0.94212       0.9201 
     0.94268       0.9139 
     0.94294       0.9163 
     0.94188       0.9167 
     0.94278       0.9154 
     0.94444       0.9188 
      0.9441       0.9159 
     0.94478        0.917 
     0.94402       0.9143 
     0.94532       0.9145 
     0.94482       0.9183 
     0.94538       0.9119 
     0.94566       0.9138 
     0.94696       0.9167 
     0.94656       0.9152 
      0.9474       0.9186 
     0.94686       0.9164 
      0.9466       0.9173 
     0.94818        0.919 
     0.94664       0.9168 
     0.94798       0.9153 
     0.94882       0.9153 
     0.94758       0.9163 
      0.9483       0.9161 
     0.94798       0.9124 
     0.94856       0.9171 
     0.94882       0.9172 
     0.95012       0.9174 
     0.94846       0.9156 
     0.94894       0.9192 
     0.95232       0.9187 
      0.9541       0.9213 
     0.95622       0.9206 
     0.95414       0.9189 
     0.95646       0.9201 
      0.9564       0.9198 
     0.95474       0.9204 
     0.95638       0.9198 
      0.9559       0.9196 
     0.95698       0.9201 
     0.95654       0.9206 
     0.95634       0.9201 
      0.9563       0.9187 
     0.95724       0.9196 
     0.95554        0.921 
     0.95702       0.9205 
      0.9584       0.9187 
     0.95694         0.92 
     0.95564       0.9201 
      0.9561       0.9194 
      0.9567       0.9196 
      0.9584       0.9191 
     0.95662       0.9188 
      0.9573       0.9184 
     0.95728       0.9207 
     0.95856       0.9204 
     0.95708       0.9198 
     0.95886       0.9211 
     0.95732       0.9197 
     0.95672       0.9203 
     0.95784       0.9198 
     0.95812       0.9189 
     0.95862       0.9213 
     0.95776       0.9208 
     0.95814       0.9198 
     0.95878       0.9194 
     0.95712       0.9224 
     0.95826         0.92 
     0.95876       0.9187 
      0.9567       0.9215 
     0.95858         0.92 
     0.95932       0.9211 
     0.96076       0.9203 
     0.96028       0.9209 
      0.9594       0.9206 
     0.95972       0.9212 
     0.96098       0.9217 
     0.96064       0.9193 
     0.95914       0.9223 
     0.95876       0.9214 
     0.95984       0.9197 
     0.96032       0.9211 
     0.96008       0.9199 
     0.96004       0.9207 
     0.95926       0.9205 
     0.95918       0.9213 
     0.95964       0.9213 
     0.96124       0.9206 
     0.95906       0.9195 
     0.95958       0.9211 
     0.96076       0.9202 
     0.95956       0.9209 
     0.95998       0.9213 
     0.96072       0.9199 
     0.96208       0.9214 
      0.9603       0.9225 
     0.96068       0.9214 
     0.96062       0.9205 
     0.95862       0.9194 
       0.961       0.9205 
     0.95978       0.9204 
     0.96088       0.9197 
     0.96054       0.9203 
     0.96134       0.9213 
     0.96082       0.9215 
     0.95906       0.9206 
      0.9613       0.9207 
     0.96106       0.9199 
     0.95938       0.9213 
     0.96096       0.9206 
