#      Train        Test
   0.0126751    0.0114621 
  0.00915605   0.00922848 
   0.0079046   0.00903683 
   0.0071415   0.00704557 
  0.00649827   0.00598639 
  0.00600208   0.00581158 
  0.00562872   0.00574643 
  0.00530213   0.00479721 
  0.00510827   0.00451498 
  0.00487073   0.00485683 
  0.00467151   0.00599563 
  0.00455845   0.00513914 
  0.00439945   0.00421579 
  0.00423757   0.00381204 
  0.00412136   0.00397369 
  0.00409332   0.00413409 
   0.0039105   0.00399807 
  0.00384953   0.00401058 
  0.00376392   0.00377635 
  0.00362478   0.00428669 
  0.00358906   0.00386954 
   0.0035306   0.00417111 
   0.0034454   0.00351576 
  0.00341024   0.00358417 
  0.00332688   0.00315841 
  0.00325118   0.00317134 
  0.00322024    0.0033969 
  0.00316058   0.00323441 
  0.00307565   0.00327274 
  0.00306009   0.00312673 
  0.00302503   0.00324516 
  0.00294838   0.00299266 
  0.00295113   0.00297075 
   0.0028661   0.00317256 
  0.00283614   0.00311445 
  0.00277679   0.00290186 
  0.00277932   0.00322143 
  0.00275316   0.00288922 
  0.00271118   0.00307219 
   0.0026428   0.00295732 
  0.00260048   0.00295436 
  0.00259649    0.0025979 
  0.00256465   0.00270777 
  0.00254104   0.00262189 
  0.00250196   0.00289514 
  0.00250632   0.00277878 
  0.00244127   0.00269773 
   0.0024055   0.00292987 
  0.00238904   0.00289577 
  0.00238253   0.00306682 
  0.00236808   0.00271986 
   0.0023136   0.00271828 
   0.0023036   0.00272805 
  0.00223414   0.00263391 
  0.00225042   0.00281167 
  0.00225142   0.00277344 
   0.0021732   0.00279643 
  0.00216976   0.00311662 
  0.00219268   0.00260925 
  0.00212518   0.00245813 
  0.00173396   0.00228455 
  0.00165425   0.00236027 
  0.00158858   0.00234977 
  0.00155909   0.00224728 
  0.00153346   0.00236542 
  0.00152535   0.00234335 
   0.0015133   0.00223062 
  0.00149724   0.00230812 
  0.00146564    0.0022187 
   0.0014714   0.00225385 
  0.00143764   0.00226799 
  0.00145658   0.00224835 
  0.00142548   0.00231781 
  0.00141974   0.00228844 
  0.00139579   0.00227715 
  0.00139432   0.00227916 
  0.00136906   0.00232983 
  0.00138237   0.00236159 
  0.00136014   0.00231272 
  0.00134339   0.00221056 
  0.00134188   0.00232178 
  0.00132007   0.00230675 
  0.00135023   0.00231211 
   0.0013447   0.00229734 
  0.00129926   0.00240754 
  0.00131328   0.00236657 
  0.00130153   0.00231936 
   0.0013056   0.00229333 
  0.00127572   0.00228449 
  0.00127889    0.0023145 
   0.0012815   0.00234833 
  0.00126838   0.00227484 
  0.00128391   0.00230326 
  0.00125856   0.00234461 
  0.00122311   0.00233319 
  0.00125901   0.00233964 
  0.00121872   0.00229472 
    0.001235   0.00242975 
  0.00125915   0.00229968 
  0.00122026   0.00236177 
  0.00122351    0.0023214 
  0.00124618   0.00230836 
  0.00121341   0.00234678 
  0.00119622   0.00236259 
  0.00118323    0.0023793 
   0.0011836   0.00236911 
  0.00120594   0.00232772 
  0.00115649   0.00234451 
  0.00115291   0.00241177 
  0.00117101   0.00232766 
  0.00116188   0.00234607 
  0.00112943   0.00234256 
  0.00115158   0.00232554 
  0.00112604   0.00237782 
  0.00113001   0.00238324 
  0.00111332   0.00240424 
   0.0011361   0.00248917 
  0.00111655   0.00243023 
  0.00112471   0.00243635 
  0.00111444   0.00249705 
  0.00105788   0.00232855 
 0.000992485   0.00241512 
  0.00101697   0.00236923 
 0.000992664   0.00234944 
 0.000993096   0.00236751 
 0.000965766   0.00236706 
 0.000997436   0.00236001 
 0.000965578   0.00239156 
 0.000955945   0.00247053 
 0.000989133    0.0023635 
 0.000957033   0.00235183 
 0.000978703   0.00236638 
 0.000970126    0.0023423 
 0.000976659   0.00241039 
 0.000967012     0.002333 
 0.000963608    0.0023762 
 0.000954955   0.00236541 
 0.000936553   0.00234554 
  0.00096679   0.00240598 
 0.000986347   0.00241013 
  0.00096098   0.00238864 
 0.000931372   0.00239709 
 0.000938783    0.0023813 
 0.000954111   0.00236996 
 0.000966013   0.00241553 
 0.000944338   0.00238688 
 0.000960303   0.00244092 
 0.000946488   0.00244345 
 0.000954138   0.00239998 
 0.000951414   0.00238212 
 0.000957618   0.00235117 
 0.000944151   0.00238583 
 0.000913854   0.00233932 
 0.000932402   0.00240316 
 0.000921482   0.00236817 
 0.000946704   0.00231478 
   0.0009291   0.00245662 
  0.00091919   0.00239446 
 0.000925534   0.00242663 
  0.00091147   0.00247038 
 0.000927982   0.00235692 
 0.000927575   0.00235649 
 0.000904319   0.00238992 
 0.000913923   0.00234656 
 0.000887316   0.00239686 
 0.000887002   0.00236161 
 0.000920088   0.00237203 
 0.000904759   0.00237278 
 0.000877097   0.00238475 
 0.000909236   0.00242749 
  0.00090052   0.00252334 
 0.000912702   0.00244168 
  0.00088317   0.00243501 
 0.000904996   0.00234652 
  0.00088535   0.00233511 
 0.000893054   0.00235729 
 0.000886596   0.00236974 
  0.00091177   0.00241353 
  0.00089518   0.00239237 
 0.000892214   0.00237496 
 0.000889224   0.00235683 
   0.0009065   0.00234812 
 0.000897033   0.00236134 
 0.000871622    0.0023851 
 0.000873462   0.00236312 
 0.000871199   0.00241656 
  0.00089236   0.00240008 
 0.000884066   0.00240853 
 0.000872038   0.00236548 
 0.000900071     0.002411 
 0.000908718   0.00235576 
 0.000869995   0.00243836 
