#      Train        Test
      0.4006        0.478 
     0.55744       0.5578 
     0.60764       0.6466 
      0.6398       0.6708 
     0.66474       0.6062 
     0.68448        0.725 
     0.70612       0.7217 
     0.71986       0.7438 
     0.72842       0.7446 
      0.7389       0.7292 
     0.74614       0.7538 
     0.75862        0.749 
     0.76586       0.7652 
     0.77352       0.8093 
     0.77532        0.797 
     0.78168       0.7878 
     0.78782       0.8029 
      0.7903       0.8257 
     0.79698       0.8094 
      0.7926       0.8303 
     0.80082       0.7886 
      0.8027       0.8384 
     0.80922       0.8225 
     0.80984       0.8337 
     0.81376       0.8292 
      0.8124        0.845 
     0.81668       0.8432 
     0.81978       0.8383 
      0.8231       0.8334 
     0.82482       0.8374 
      0.8277       0.8487 
     0.82878       0.8533 
     0.83322       0.8611 
     0.83406       0.8448 
     0.83344       0.8486 
     0.83786       0.8466 
     0.84088       0.8354 
     0.84132       0.8581 
     0.84134       0.8589 
     0.84518       0.8642 
     0.84898       0.8581 
     0.84712       0.8464 
     0.84948       0.8674 
     0.85076       0.8713 
     0.86038       0.8502 
     0.85888       0.8541 
      0.8586       0.8728 
     0.85996       0.8724 
     0.86204       0.8796 
     0.86666       0.8629 
      0.8702        0.881 
     0.87046       0.8701 
     0.87288       0.8725 
     0.87168       0.8733 
     0.87812       0.8838 
     0.88192       0.8833 
     0.88008       0.8853 
     0.88396       0.8898 
     0.88372       0.8785 
      0.8865       0.8919 
      0.8889       0.8919 
     0.89214       0.8901 
     0.89128       0.8933 
     0.89194       0.8935 
     0.88962       0.8936 
     0.89414       0.8855 
     0.89396       0.8973 
     0.89764       0.8982 
     0.89838       0.8922 
      0.8954       0.8951 
      0.8985       0.8891 
     0.89398       0.8932 
     0.89778       0.8948 
     0.89648       0.8901 
      0.8998       0.8944 
     0.89984       0.8942 
     0.89876       0.8923 
     0.89954       0.8972 
     0.90174       0.8947 
      0.9003       0.8994 
     0.90208       0.8948 
     0.89964       0.8982 
     0.90244       0.8982 
     0.90728       0.8953 
     0.90196       0.8992 
     0.90288       0.8987 
     0.90594       0.8962 
      0.9047        0.897 
     0.90388       0.8984 
     0.90512       0.8949 
     0.90454       0.8989 
      0.9031       0.8988 
      0.9056       0.8982 
      0.9035       0.9021 
      0.9052       0.9005 
     0.90538       0.8983 
     0.90752       0.9012 
      0.9093       0.8855 
     0.90432       0.9031 
     0.90636       0.9028 
     0.90894       0.8989 
     0.90654       0.8999 
     0.91142       0.8993 
     0.90644       0.8989 
     0.90624       0.9009 
     0.91024       0.8945 
     0.90968       0.8938 
     0.90646       0.8892 
     0.91168       0.8957 
      0.9084       0.9006 
     0.91096       0.9018 
      0.9119       0.9046 
     0.91314       0.8954 
      0.9109        0.903 
      0.9133       0.9001 
     0.91092        0.897 
      0.9123       0.9007 
     0.91132       0.9065 
     0.91418       0.9018 
     0.91342        0.898 
     0.91236       0.8997 
     0.91146       0.9015 
     0.91158       0.8964 
      0.9127       0.9026 
     0.91042       0.8984 
      0.9145       0.9013 
     0.91484       0.9047 
     0.91366       0.9007 
     0.91338       0.9016 
     0.91402       0.9003 
      0.9162       0.9038 
     0.91264       0.8964 
     0.91564       0.9028 
      0.9175        0.899 
     0.91586        0.888 
     0.91586          0.9 
     0.91754       0.9054 
      0.9168       0.9025 
     0.91638       0.8992 
      0.9158       0.9055 
     0.91546       0.9019 
     0.91916       0.9012 
     0.91588       0.9005 
     0.91858       0.8996 
     0.91846       0.9007 
     0.91578       0.8974 
     0.91862       0.9044 
     0.91862       0.9002 
     0.91614       0.8917 
     0.91938       0.9022 
     0.91912       0.8981 
     0.91878       0.9029 
     0.91782       0.9004 
     0.91978        0.902 
     0.92104       0.9041 
     0.92254       0.9029 
     0.92014       0.8971 
      0.9204          0.9 
     0.92052       0.9029 
     0.92056       0.9017 
     0.91904       0.8999 
      0.9206       0.8972 
     0.92002       0.8937 
     0.92052       0.8992 
     0.92054       0.9049 
     0.91958       0.9003 
     0.92342       0.9065 
     0.92044       0.9022 
     0.92016       0.8979 
      0.9203       0.8999 
     0.92534       0.9085 
     0.92302       0.9043 
     0.92038       0.9023 
     0.92118       0.9034 
     0.92578       0.9068 
      0.9239       0.9011 
