#      Train        Test
   0.0124008    0.0116434 
  0.00952324    0.0099787 
  0.00841063   0.00908473 
  0.00775232   0.00769918 
  0.00719738   0.00665334 
  0.00673733    0.0068731 
  0.00650833   0.00809642 
  0.00615816   0.00549944 
  0.00596608   0.00529907 
  0.00578548   0.00698599 
  0.00557615   0.00563234 
  0.00540035   0.00527737 
  0.00526557   0.00528035 
  0.00508712   0.00465658 
  0.00499516   0.00490854 
  0.00492552   0.00442895 
  0.00473302   0.00461462 
  0.00468188   0.00557688 
  0.00458648   0.00481634 
  0.00450729   0.00407508 
  0.00445357   0.00444333 
  0.00439612   0.00516106 
   0.0042612   0.00370917 
  0.00416476   0.00397871 
  0.00421834   0.00372116 
  0.00408652   0.00390241 
  0.00407979   0.00403394 
  0.00402085   0.00367623 
  0.00390416   0.00387635 
  0.00392956   0.00379713 
  0.00382499   0.00382031 
  0.00380389   0.00357512 
  0.00376593   0.00346517 
  0.00370989   0.00367624 
  0.00364533   0.00360365 
  0.00357984   0.00415327 
  0.00354961   0.00375743 
   0.0035182   0.00332929 
  0.00353054   0.00341744 
  0.00345045   0.00345634 
  0.00337266   0.00365134 
  0.00332667   0.00356572 
  0.00327695   0.00329126 
  0.00327919   0.00307303 
   0.0032225   0.00296912 
  0.00317035   0.00324622 
   0.0031155   0.00316433 
  0.00314725   0.00314956 
  0.00308099   0.00334347 
  0.00298811   0.00335796 
  0.00290807    0.0030927 
  0.00283809    0.0032125 
  0.00289016   0.00295939 
  0.00269383   0.00288727 
  0.00270283   0.00308461 
  0.00266181    0.0029265 
  0.00259102    0.0026204 
  0.00251478   0.00295916 
  0.00256396   0.00263316 
  0.00247686   0.00277958 
  0.00250199   0.00258869 
  0.00241051   0.00281767 
  0.00243393   0.00277266 
  0.00240321   0.00288024 
  0.00234764   0.00272963 
  0.00236924   0.00273324 
  0.00232814   0.00261233 
  0.00231067   0.00263068 
  0.00228053     0.002553 
  0.00229197   0.00269191 
  0.00231141   0.00285013 
  0.00230663   0.00263885 
   0.0022607   0.00284655 
  0.00228259   0.00263404 
    0.002298     0.002629 
  0.00226112   0.00265697 
   0.0022135   0.00272413 
  0.00225601    0.0025623 
   0.0021903   0.00263338 
  0.00218207   0.00268507 
  0.00219464   0.00280202 
  0.00212773    0.0026648 
  0.00217315   0.00250407 
  0.00209795   0.00258409 
    0.002115   0.00246282 
  0.00215988   0.00268991 
  0.00219776   0.00263114 
  0.00216406   0.00252989 
  0.00209639   0.00270038 
  0.00212799   0.00270814 
  0.00216154   0.00260482 
  0.00215923   0.00257199 
  0.00212697    0.0026732 
  0.00207061   0.00263829 
  0.00207747   0.00256547 
  0.00206745   0.00260691 
  0.00205419   0.00258301 
  0.00203115    0.0025049 
  0.00202814   0.00275591 
  0.00204786   0.00254148 
  0.00200285   0.00273091 
  0.00210597   0.00256479 
  0.00201325   0.00261258 
  0.00201885   0.00252672 
   0.0020102   0.00264566 
   0.0020084   0.00267935 
  0.00198993   0.00260266 
  0.00199784   0.00271686 
  0.00197175   0.00267095 
  0.00196537    0.0025381 
  0.00198149   0.00265457 
  0.00194059    0.0027247 
  0.00200056   0.00281592 
  0.00199263    0.0026106 
  0.00203731   0.00253272 
  0.00193585   0.00271692 
   0.0019447   0.00264926 
  0.00193155   0.00265742 
  0.00196251   0.00269181 
  0.00197897   0.00265447 
  0.00191836   0.00274061 
  0.00193639    0.0025854 
  0.00194234   0.00255553 
  0.00196739   0.00271685 
  0.00190717   0.00261567 
  0.00190881   0.00290018 
   0.0018994   0.00256196 
  0.00190545   0.00258326 
  0.00189477   0.00258418 
  0.00189494   0.00289432 
  0.00191327   0.00261473 
  0.00187611   0.00284058 
  0.00191198   0.00269425 
  0.00190843   0.00269018 
  0.00189453   0.00269576 
  0.00191642   0.00265036 
  0.00183309    0.0026802 
  0.00180729   0.00278555 
  0.00190136    0.0027997 
  0.00188877   0.00260833 
  0.00183693   0.00269954 
  0.00185365   0.00275729 
  0.00185554   0.00261202 
  0.00183211   0.00270342 
  0.00178029   0.00273409 
    0.001792   0.00251626 
   0.0018449   0.00264067 
   0.0018517   0.00279454 
  0.00181205   0.00262108 
  0.00177552   0.00256156 
  0.00187317   0.00271543 
  0.00181433    0.0027318 
  0.00173941   0.00251504 
  0.00179392   0.00269201 
  0.00179272   0.00285693 
  0.00182866   0.00267634 
  0.00180143   0.00270444 
  0.00182479   0.00257824 
  0.00180279   0.00256786 
  0.00180598   0.00276751 
  0.00179889   0.00275231 
  0.00178927   0.00270449 
  0.00178702   0.00266422 
  0.00179414   0.00269405 
  0.00177154   0.00272249 
  0.00176755   0.00255799 
  0.00175334   0.00279275 
  0.00177913   0.00285207 
  0.00175709   0.00277068 
  0.00171059   0.00270098 
  0.00172597   0.00274412 
  0.00169765   0.00270722 
  0.00170264   0.00260138 
  0.00172512   0.00262966 
  0.00167346   0.00265445 
  0.00167328   0.00275839 
  0.00170227   0.00245154 
  0.00169357   0.00278797 
  0.00169795   0.00292376 
  0.00168743   0.00254377 
  0.00165804   0.00276577 
  0.00167065   0.00280272 
   0.0017031   0.00268844 
  0.00168264   0.00269003 
  0.00165835   0.00263201 
  0.00167983    0.0027794 
  0.00165699   0.00277469 
  0.00168342   0.00261521 
  0.00166254   0.00273372 
  0.00168094   0.00296502 
  0.00168099    0.0027697 
  0.00162255   0.00273671 
  0.00162244   0.00265414 
  0.00160853   0.00269051 
  0.00161409   0.00257113 
  0.00165587    0.0027908 
  0.00162173   0.00263625 
  0.00161614   0.00249861 
   0.0016257   0.00290855 
  0.00163257   0.00262235 
  0.00162311   0.00257452 
  0.00161549   0.00270739 
  0.00161078    0.0026786 
  0.00165746   0.00291005 
  0.00158706   0.00291933 
  0.00158856   0.00271004 
  0.00158453   0.00258271 
  0.00160787   0.00263509 
  0.00156542    0.0027374 
  0.00162464    0.0027824 
  0.00155359   0.00282329 
  0.00159331   0.00276433 
  0.00159358   0.00261732 
  0.00155801   0.00275055 
  0.00156582   0.00286524 
  0.00159445   0.00277128 
  0.00155441   0.00275998 
  0.00156796   0.00256933 
  0.00159546   0.00270431 
  0.00157676   0.00265562 
  0.00154429   0.00262293 
  0.00154676   0.00289472 
  0.00148873   0.00277237 
  0.00152563   0.00258811 
  0.00153382   0.00268316 
  0.00145895   0.00261976 
  0.00149429   0.00269909 
  0.00146969   0.00254469 
  0.00150049   0.00253175 
  0.00149492   0.00264125 
  0.00149712   0.00264821 
  0.00149925   0.00271255 
  0.00147616   0.00276061 
  0.00145851   0.00258905 
  0.00146715   0.00268286 
   0.0015103   0.00267959 
  0.00150032   0.00258743 
  0.00148491   0.00284822 
  0.00145321   0.00271334 
  0.00145016   0.00276521 
   0.0014653   0.00257231 
  0.00143725   0.00256117 
  0.00144649   0.00280696 
  0.00145598   0.00265533 
  0.00142743   0.00277268 
  0.00143362   0.00263605 
  0.00147922   0.00278073 
  0.00142679   0.00270761 
  0.00142449   0.00292968 
  0.00146435   0.00271535 
