#      Train        Test
   0.0125317    0.0112575 
  0.00957765    0.0108988 
  0.00851441   0.00886193 
  0.00785674    0.0101099 
  0.00734451   0.00794532 
  0.00694241    0.0083404 
  0.00651917   0.00689723 
  0.00623771   0.00580932 
  0.00600281   0.00620708 
  0.00578877   0.00620923 
  0.00559348   0.00549562 
  0.00550383   0.00503176 
  0.00523661    0.0047412 
  0.00515267   0.00486185 
  0.00504579   0.00515533 
  0.00486559   0.00571587 
  0.00472757   0.00469033 
  0.00472991   0.00515715 
  0.00457447   0.00408074 
  0.00452817   0.00407428 
  0.00437815   0.00460593 
  0.00435079   0.00505999 
   0.0043265   0.00533329 
  0.00421263   0.00388726 
  0.00410841    0.0039941 
  0.00411216   0.00406694 
  0.00404103   0.00392721 
  0.00393174   0.00449898 
  0.00395428   0.00415147 
   0.0038877   0.00431016 
  0.00387345   0.00415222 
  0.00381554    0.0036399 
  0.00377365    0.0039265 
  0.00373377   0.00382692 
  0.00368907   0.00379562 
  0.00363504   0.00365851 
  0.00360874   0.00365956 
  0.00350016   0.00381109 
  0.00352428   0.00332354 
  0.00345418   0.00373117 
  0.00334303   0.00371633 
  0.00331568   0.00328747 
   0.0033749   0.00364286 
  0.00324545   0.00321154 
  0.00318315   0.00344776 
  0.00320737   0.00339111 
  0.00311194   0.00340227 
  0.00310715   0.00357047 
  0.00299403   0.00298488 
  0.00289883   0.00298458 
  0.00284804    0.0029619 
  0.00287392   0.00291501 
  0.00282713   0.00292579 
  0.00278605   0.00303046 
  0.00266853   0.00300093 
  0.00261782   0.00290291 
  0.00260855   0.00284246 
  0.00260423   0.00330934 
  0.00256621   0.00291645 
   0.0025344   0.00311743 
  0.00236094   0.00265881 
  0.00236219   0.00276847 
  0.00228955   0.00271079 
  0.00231478    0.0026322 
  0.00232777   0.00285672 
  0.00232132   0.00256248 
  0.00228228   0.00261446 
  0.00227384   0.00273996 
   0.0023401   0.00298436 
   0.0023192   0.00271927 
   0.0022879   0.00260582 
  0.00229799    0.0027478 
  0.00229418   0.00293068 
  0.00230805   0.00272848 
  0.00225387   0.00263334 
  0.00227608   0.00277849 
  0.00227981   0.00271591 
  0.00225088   0.00267079 
  0.00223361   0.00274077 
   0.0022707   0.00269495 
  0.00226526   0.00272988 
  0.00226719    0.0028921 
  0.00225112   0.00266379 
  0.00229199   0.00271388 
  0.00220376   0.00258271 
  0.00223944   0.00289647 
  0.00224443   0.00298628 
  0.00223482   0.00268224 
  0.00221609   0.00270983 
  0.00220262   0.00268802 
  0.00219591   0.00252997 
  0.00221884   0.00278851 
   0.0022222   0.00268117 
  0.00220178   0.00267814 
  0.00213834   0.00264411 
  0.00213609   0.00274598 
   0.0021751   0.00280963 
  0.00215307   0.00256019 
