#      Train        Test
     0.40176       0.4906 
     0.55814       0.5512 
      0.6107       0.6208 
     0.64234       0.5594 
     0.66936       0.6999 
     0.69274       0.7221 
     0.71016       0.7297 
     0.72084       0.7226 
     0.73436       0.7719 
     0.74386       0.7549 
     0.75396       0.7698 
     0.76184       0.7511 
      0.7672       0.8132 
     0.77638       0.7828 
     0.77878       0.7977 
     0.78328       0.8144 
     0.78816       0.8177 
     0.79456       0.7937 
     0.80052       0.8295 
     0.80248       0.8022 
     0.80532       0.8162 
     0.80802       0.8233 
      0.8124        0.817 
     0.81792       0.8295 
     0.81938        0.831 
     0.81766       0.8269 
     0.82242       0.8384 
     0.82614       0.8572 
     0.82844       0.8332 
     0.82984       0.8541 
     0.83428       0.8294 
     0.83774       0.8492 
     0.83524       0.8438 
     0.83864       0.8559 
     0.83986       0.8538 
     0.84412       0.8537 
     0.84766       0.8619 
      0.8501       0.8554 
     0.84998       0.8625 
     0.85388       0.8662 
     0.85644        0.872 
      0.8568       0.8659 
     0.85934       0.8708 
     0.86632       0.8611 
     0.86106        0.859 
     0.86264       0.8709 
      0.8688       0.8806 
     0.86954       0.8842 
      0.8686       0.8741 
       0.874       0.8834 
     0.87812        0.886 
     0.87736       0.8738 
     0.88218       0.8826 
     0.88676       0.8905 
     0.88154       0.8839 
     0.88862       0.8879 
     0.89132       0.8942 
     0.89126       0.8891 
     0.89306       0.8918 
     0.89146       0.9001 
     0.89704        0.895 
     0.90026       0.8978 
     0.90048        0.897 
     0.89736       0.8993 
     0.89994       0.8965 
      0.9013       0.8976 
     0.90054       0.8923 
     0.89904       0.8949 
     0.89902       0.8982 
     0.90146       0.8991 
      0.8999       0.8989 
      0.9008       0.8999 
     0.90448       0.9006 
      0.9027       0.8921 
     0.90204       0.8952 
      0.9022       0.8938 
     0.90238       0.8948 
     0.90228       0.9023 
     0.89962       0.8949 
     0.90092       0.8998 
     0.90148       0.8944 
     0.90088       0.8967 
     0.90346       0.8974 
     0.90062       0.8902 
     0.90112       0.8972 
      0.9002       0.8952 
     0.90368       0.8959 
     0.90192       0.8931 
      0.9013       0.8923 
     0.90016       0.8957 
     0.90264        0.897 
     0.90228        0.895 
     0.90112       0.8954 
     0.90242       0.8908 
     0.90516       0.8925 
     0.90558       0.8979 
     0.90468       0.8912 
     0.90468       0.8957 
     0.90446       0.8988 
     0.90408       0.8945 
     0.90472       0.8996 
     0.90544       0.8965 
      0.9064       0.8942 
     0.90782       0.8948 
     0.90674       0.8965 
     0.90724       0.8935 
     0.90706       0.8951 
      0.9105       0.9016 
      0.9102       0.9004 
      0.9081       0.9009 
     0.91188       0.8959 
      0.9111       0.9025 
     0.91182       0.8923 
     0.91064       0.8954 
     0.91196       0.9004 
     0.91248       0.8953 
     0.91178       0.9008 
       0.914       0.9023 
     0.91362        0.899 
       0.916       0.8979 
     0.91986       0.9009 
     0.92248       0.9012 
      0.9223       0.9031 
     0.92436       0.9052 
      0.9235       0.9025 
     0.92344       0.9053 
      0.9261       0.9029 
     0.92504       0.9067 
     0.92512       0.9069 
     0.92692       0.9074 
     0.92664       0.9073 
     0.92824       0.9059 
      0.9276       0.9071 
     0.92684       0.9068 
     0.92782        0.907 
      0.9288       0.9067 
     0.92672        0.908 
     0.92808       0.9094 
     0.92924       0.9068 
     0.92994       0.9064 
     0.93084       0.9042 
     0.92958       0.9095 
     0.93028       0.9041 
     0.92898       0.9078 
     0.92972       0.9079 
      0.9314       0.9073 
     0.93208       0.9039 
     0.93204       0.9066 
      0.9329       0.9069 
      0.9305        0.906 
     0.93094       0.9064 
      0.9333       0.9052 
     0.93262       0.9058 
     0.93338       0.9029 
     0.93362       0.9066 
     0.93224       0.9092 
     0.93476       0.9091 
       0.935       0.9056 
     0.93284       0.9044 
     0.93336       0.9071 
      0.9388       0.9083 
      0.9412       0.9089 
      0.9416       0.9106 
     0.94364       0.9113 
     0.94344         0.91 
     0.94358       0.9111 
     0.94242       0.9104 
     0.94394        0.909 
     0.94454       0.9117 
     0.94412       0.9105 
     0.94312       0.9107 
     0.94632       0.9107 
      0.9461       0.9091 
     0.94432       0.9111 
     0.94412       0.9095 
     0.94396       0.9118 
      0.9449       0.9131 
     0.94506        0.912 
      0.9438       0.9109 
     0.94348       0.9112 
     0.94542        0.911 
      0.9454       0.9126 
      0.9447       0.9112 
     0.94492       0.9128 
     0.94304       0.9112 
     0.94358       0.9105 
     0.94568       0.9113 
     0.94468        0.911 
      0.9469       0.9101 
     0.94488       0.9099 
      0.9465       0.9118 
     0.94542       0.9096 
     0.94526       0.9127 
      0.9459       0.9115 
     0.94572       0.9112 
     0.94564        0.911 
     0.94548       0.9105 
     0.94558        0.911 
      0.9473       0.9097 
     0.94622       0.9107 
